row_label_raw,row_label_full,Banks,End of year VND,Classified into short-term debt VND,Principal repayment term,Interest rate (%/year),Collaterals,Collaterals_1,numeric__End of year VND,numeric__Classified into short-term debt VND,numeric__Principal repayment term,numeric__Interest rate (%/year),numeric__Collaterals,numeric__Collaterals_1
Saigon,Saigon,Saigon,"332,835,753,678","274,268,604,000",To 16 March 2026,10.5%-11%,"- All assets and rights of assets arising from the Technical Infrastructure project of North Vung Tau New Urban Area (area 19.6 ha) in ward 12, Vung Tau city, The right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.- Land use rights and assets attached to the land of plot numbers 221+222+223+224; 94; 95 on cadastral map sheet number 38 45 in Thang Nhat Ward, Vung Tau City, Ba Ria - Vung Tau Province; According to the Certificate of Land Use Rights, Ownership of Houses and Other Assets Attached to Land number BN 981921, registration number: CT 05386 issued by the Department of Natural Resources and Environment of Ba Ria - Vung Tau Province on May 20, 2014, owned and used by the Development Investment Construction Joint Stock Company.","- All assets and rights of assets arising from the Technical Infrastructure project of North Vung Tau New Urban Area (area 19.6 ha) in ward 12, Vung Tau city, The right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.- Land use rights and assets attached to the land of plot numbers 221+222+223+224; 94; 95 on cadastral map sheet number 38 45 in Thang Nhat Ward, Vung Tau City, Ba Ria - Vung Tau Province; According to the Certificate of Land Use Rights, Ownership of Houses and Other Assets Attached to Land number BN 981921, registration number: CT 05386 issued by the Department of Natural Resources and Environment of Ba Ria - Vung Tau Province on May 20, 2014, owned and used by the Development Investment Construction Joint Stock Company.",,,,,,
Thuong Tin,Thuong Tin,Thuong Tin,,,,,,,,,,,,
Commercial,Commercial,Commercial,,,,,,,,,,,,
Joint Stock,Joint Stock,Joint Stock,,,,,,,,,,,,
Bank - Ba Ria,Bank - Ba Ria,Bank - Ba Ria,,,,,,,,,,,,
- Vung Tau,- Vung Tau,- Vung Tau,,,,,,,,,,,,
Branch,Branch,Branch,,,,,,,,,,,,
Total,Total,Total,"1,119,206,734,515","917,850,674,288",,,,,,,,,,
