row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,
Công ty CP Đầu tư Phát triểnXây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triểnXây dựng Số 1,Công ty CP Đầu tư Phát triểnXây dựng Số 1,Chi phí xây dựng,52.162.895.582,124.699.848.179,,52162895582.0,124699848179.0
Công ty CP Đầu tư Phát triểnXây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triểnXây dựng Số 1,Công ty CP Đầu tư Phát triểnXây dựng Số 1,Bán tài sản,2.657.888.640,-,,2657888640.0,
Công ty CP Đầu tư Phát triểnXây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triểnXây dựng Số 1,Công ty CP Đầu tư Phát triểnXây dựng Số 1,Cổ tức cổ phiếu,-,2.116.020.000,,,2116020000.0
Công ty CP Đầu tư Phát triểnXây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triểnXây dựng Số 1,Công ty CP Đầu tư Phát triểnXây dựng Số 1,Cổ tức bằng tiền,-,1.058.011.500,,,1058011500.0
Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Chi phí xây dựng,45.681.744.837,39.662.419.805,,45681744837.0,39662419805.0
Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Cổ tức bằng cổ phiếu,-,1.803.980.000,,,1803980000.0
Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển -Xây dựng (DIC) Số 2,Mua cổ phần phát hành thêm,17.150.000.000,-,,17150000000.0,
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Lãi cho vay,3.499.060.274,3.506.808.218,,3499060274.0,3506808218.0
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Chuyển nhượng vốn,33.839.211.640,-,,33839211640.0,
