row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Sài Gòn Thương Tín – chi nhánh Bà Rịa Vũng Tàu,Số dư cuối năm VND > 332.835.753.678,Phân loại thành nợ đến hạn trả VND > 274.268.604.000,Thời hạn vay > Đến ngày 16 tháng 03 năm 2026,"Lãi suất (%/năm) > 10,5%-11%","Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng","Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng_1","Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng_2",numeric__Số dư cuối năm VND > 332.835.753.678,numeric__Phân loại thành nợ đến hạn trả VND > 274.268.604.000,numeric__Thời hạn vay > Đến ngày 16 tháng 03 năm 2026,"numeric__Lãi suất (%/năm) > 10,5%-11%","numeric__Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng","numeric__Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng_1","numeric__Tài sản đảm bảo > - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng_2"
Cộng,Cộng,Cộng,1.119.206.734.515,917.850.674.288,,,,,,1119206734515.0,917850674288.0,,,,,
19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,,,,,
,,,,,,Số đầu năm VND,Tăng VND,Giảm/(phân bổ chi phí phát hành trái phiếu) VND,Số cuối năm VND,,,,,,,
Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),891.577.418.629,-,(891.577.418.629),-,,,,891577418629.0,,-891577418629.0,
Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),Ngắn hạn - Trái phiếu thường phát hành đến hạn trả Trái phiếu thường phát hành năm 2021 (i),891.577.418.629,-,(891.577.418.629),-,,,,891577418629.0,,-891577418629.0,
Giá gốc trái phiếu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,900.000.000.000,-,(900.000.000.000),-,,,,900000000000.0,,-900000000000.0,
Chi phí phát hành trái phiếu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.422.581.371),-,8.422.581.371,-,,,,-8422581371.0,,8422581371.0,
Dài hạn,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,250.499.800.000,1.294.399.800.000,17.633.048.402,1.562.532.648.402,,,,250499800000.0,1294399800000.0,17633048402.0,1562532648402.0
Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),250.499.800.000,1.294.399.800.000,17.633.048.402,1.562.532.648.402,,,,250499800000.0,1294399800000.0,17633048402.0,1562532648402.0
Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),300.000.000.000,-,-,300.000.000.000,,,,300000000000.0,,,300000000000.0
Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),-,1.300.000.000.000,-,1.300.000.000.000,,,,,1300000000000.0,,1300000000000.0
Chi phí phát hành trái phiếu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(49.500.200.000),(5.600.200.000),17.633.048.402,(37.467.351.598),,,,-49500200000.0,-5600200000.0,17633048402.0,-37467351598.0
Cộng,19.3. Chi tiết trái phiếu và chi phí phát hành như sau: > Cộng,Cộng,Cộng,Cộng,Cộng,1.142.077.218.629,1.294.399.800.000,(873.944.370.227),1.562.532.648.402,,,,1142077218629.0,1294399800000.0,-873944370227.0,1562532648402.0
