row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"4,482,460,803,601","3,182,394,039,351",,
Advances to the Board of Compensation,Advances to the Board of Compensation,Advances to the Board of Compensation,"3,712,509,405,922","2,802,015,615,922",,
Long Tan Project,Long Tan Project,Long Tan Project,"2,656,873,402,400","1,846,008,612,400",,
North Vung Tau Project,North Vung Tau Project,North Vung Tau Project,"861,382,084,278","773,206,284,278",,
Chi Linh Project,Chi Linh Project,Chi Linh Project,"140,014,270,244","128,561,070,244",,
Quang Binh Project,Quang Binh Project,Quang Binh Project,"47,429,649,000","47,429,649,000",,
Hiep Phuoc Project,Hiep Phuoc Project,Hiep Phuoc Project,"4,810,000,000","4,810,000,000",,
Bau Trung Project,Bau Trung Project,Bau Trung Project,"2,000,000,000","2,000,000,000",,
Advances to staff,Advances to staff,Advances to staff,"21,518,649,693","147,801,223,405",,
Interest receivables,Interest receivables,Interest receivables,"11,534,952,603","87,656,077,066",,
Deposit,Deposit,Deposit,"454,539,043,821","82,306,078,333",,
Payment on behalf,Payment on behalf,Payment on behalf,"56,659,133,285","27,821,741,885",,
Others,Others,Others,"225,699,618,277","34,793,302,740",,
Long-term,Long-term,Long-term,"79,999,999,999","1,381,153,760,509",,
Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),,
A.T.A Construction Investment Joint Stock Company,A.T.A Construction Investment Joint Stock Company,A.T.A Construction Investment Joint Stock Company,"79,999,999,999","79,999,999,999",,
Thien Tan Development Investment Joint Stock Company,Thien Tan Development Investment Joint Stock Company,Thien Tan Development Investment Joint Stock Company,-,"1,298,153,760,510",,
DIC Construction and Investment Corporation,DIC Construction and Investment Corporation,DIC Construction and Investment Corporation,-,"3,000,000,000",,
Total,Total,Total,"4,562,460,803,600","4,563,547,799,860",,
In which:,In which:,In which:,In which:,In which:,,
Receivables from related parties (Note VIII.2),Receivables from related parties (Note VIII.2),Receivables from related parties (Note VIII.2),"1,236,534,182,060","599,690,314,664",,
