row_label_raw,row_label_full,RESOURCE,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
C. LIABILITIES,C. LIABILITIES,C. LIABILITIES,300,,"9,489,741,186,720","8,521,320,330,627",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"7,595,187,688,031","7,443,954,233,555",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,V.13,"448,300,511,037","637,075,225,900",311.0,,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,V.14,"2,456,652,493,818","1,772,063,749,745",312.0,,,
3. Statutory obligations,3. Statutory obligations,3. Statutory obligations,313,V.15,"91,477,907,259","79,768,548,166",313.0,,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"16,268,893,716","16,453,869,653",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,V.16,"321,814,317,488","290,524,650,885",315.0,,,
6. Short-term unearned revenues,6. Short-term unearned revenues,6. Short-term unearned revenues,318,V.17,"3,410,599,636","3,410,599,636",318.0,,,
7. Other short-term payables,7. Other short-term payables,7. Other short-term payables,319,V.18,"2,931,825,483,579","2,874,414,684,688",319.0,,,
8. Short-term loan and finance lease,8. Short-term loan and finance lease,8. Short-term loan and finance lease,320,V.19,"1,276,577,657,669","1,719,142,391,013",320.0,,,
9. Reward and welfare funds,9. Reward and welfare funds,9. Reward and welfare funds,322,,"48,859,823,829","51,100,513,869",322.0,,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"1,894,553,498,689","1,077,366,097,072",330.0,,,
1. Long-term unearned revenues,1. Long-term unearned revenues,1. Long-term unearned revenues,336,V.17,"111,068,571,388","114,442,807,380",336.0,,,
2. Other long-term payables,2. Other long-term payables,2. Other long-term payables,337,V.18,"19,596,218,672","19,600,000,000",337.0,,,
3. Long-term loan and finance lease,3. Long-term loan and finance lease,3. Long-term loan and finance lease,338,V.19,"1,763,888,708,629","943,323,289,692",338.0,,,
D. OWNERS' EQUITY,D. OWNERS' EQUITY,D. OWNERS' EQUITY,400,,"7,858,644,649,955","7,603,178,362,932",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,V.20,"7,858,644,649,955","7,603,178,362,932",410.0,,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,,"6,098,519,950,000","6,098,519,950,000",411.0,,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"6,098,519,950,000","6,098,519,950,000",,,,
- Preference shares,- Preference shares,- Preference shares,411b,,-,-,,,,
2. Share premium,- Preference shares > 2. Share premium,2. Share premium,412,,"1,046,337,538,421","1,046,337,538,421",412.0,,,
3. Investment and development fund,- Preference shares > 3. Investment and development fund,3. Investment and development fund,418,,"82,002,783,070","82,002,783,070",418.0,,,
4. Retained earnings,- Preference shares > 4. Retained earnings,4. Retained earnings,421,,"631,784,378,464","376,318,091,441",421.0,,,
- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,421a,,"367,035,648,102","190,669,224,665",,,,
- Retained earnings of current period,- Retained earnings of current period,- Retained earnings of current period,421b,,"264,748,730,362","185,648,866,776",,,,
TOTAL RESOURCES,- Retained earnings of current period > TOTAL RESOURCES,TOTAL RESOURCES,440,,"17,348,385,836,675","16,124,498,693,559",440.0,,,
