row_label_raw,row_label_full,col_0,col_1,End of year VND,Beginning of year VND,numeric__col_1,numeric__End of year VND,numeric__Beginning of year VND
Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,Short-term trade receivables,"414,616,436,966","6,320,211,932",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Sale of goods and rendering of services,"401,461,923,851",-,,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Rendering of services,"6,963,043,669",-,,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Rendering of services,"6,191,469,446","6,191,469,446",,,
Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Rendering of services,-,"128,742,486",,,
