row_label_raw,row_label_full,col_0,col_1,Số cuối năm VND,Số đầu năm VND,numeric__col_1,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,-,186.499.974.132,,,186499974132.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Trả trước thực hiện dự án,-,186.499.974.132,,,186499974132.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,423.881.599.516,292.850.000.000,,423881599516.0,292850000000.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,168.681.599.516,292.850.000.000,,168681599516.0,292850000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Cho vay,167.564.637.167,240.350.000.000,,167564637167.0,240350000000.0
Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Cho vay,1.116.962.349,52.500.000.000,,1116962349.0,52500000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,255.200.000.000,-,,255200000000.0,
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Cho vay,171.200.000.000,-,,171200000000.0,
Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Cho vay,84.000.000.000,-,,84000000000.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.236.534.182.060,599.690.314.664,,1236534182060.0,599690314664.0
Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),Ông Nguyễn Hùng Cường (đại diện Hội đồng Quản trị),Tạm ứng cho công tác đèn bù giải phóng mặt bằng dự án Long Tân,904.000.000.000,403.440.000.000,,904000000000.0,403440000000.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi hộ,56.630.052.035,26.964.235.792,,56630052035.0,26964235792.0
