row_label_raw,row_label_full,Banks,End of year VND,Classified into short-term debt VND,Principal repayment term,Interest rate (%/year),Collaterals,numeric__End of year VND,numeric__Classified into short-term debt VND,numeric__Principal repayment term,numeric__Interest rate (%/year),numeric__Collaterals
Vietnam Joint Stock Commercial Bank for Industry and Trade - Binh Xuyen Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Binh Xuyen Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Binh Xuyen Branch,"96,000,000,000","20,000,000,000",To 01 November 2028,"9,8%","- Certificate of land use rights, ownership of houses and other assets attached to land number DM 516188 issued by Land Registration Office of Vinh Phuc province on November 6, 2023, certificate number: CT27889. 3 plots of land number 669, 909, 855, Total area: 18,626.7 m2.- The assets attached to the land are the DIC Star Vinh Yen Hotel complex.- Rights of assets (including but not limited to: the right to claim and to benefit the amount receivables; the rights to share, use, exploit, and/ or own the shared product; the rights to request reimbursement advances, penalties, compensation for damage and enjoyment of this amount; rights, benefits, reimbursements; ...) of DIC Group arising from the DIC Star Hotel complex project",,,,0.098,
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"259,769,061,217","259,769,061,217",To 01 December 2025,8%,"- Rights of assets from 834,644.6 m2 at Vi Thanh Residential Project, Ward 4, Vi Thanh City, Hau Giang Province; 1,137 land plots in Vi Thanh Residential Project, Hau Giang Province.",,,,0.08,
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"363,813,009,071","363,813,009,071",To 31 December 2024,8.7%,"- 1,168 land plots in Nam Vinh Yen Urban Area, Phase 1.- Rights of assets (including but not limited to: the right to claim and to benefit the amount receivables; the rights to share, use, exploit, and/ or own the shared product; the rights to request reimbursement advances, penalties, compensation for damage and enjoyment of this amount; rights, benefits, reimbursements; ...) of the DIG Group arising from Phase 1 of the Nam Vinh Yen Urban Area project.- The assets attached to the land of Nam Vinh Yen New Urban Area Project Phase 1, Division 2, 3 include but are not limited to roads, internal road yards and other assets of Phase 1, Division 2, 3 at the Nam Vinh Yen New Urban Area Project. Rights, interests and payments related to land use rights and infrastructure.",,,,0.87,
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"66,788,910,549",-,To 27 December 2028,8.7%,"- 1,168 land plots in Nam Vinh Yen Urban Area, Phase 1.- Rights of assets (including but not limited to: the right to claim and to benefit the amount receivables; the rights to share, use, exploit, and/ or own the shared product; the rights to request reimbursement advances, penalties, compensation for damage and enjoyment of this amount; rights, benefits, reimbursements; ...) of the DIG Group arising from Phase 1 of the Nam Vinh Yen Urban Area project.- The assets attached to the land of Nam Vinh Yen New Urban Area Project Phase 1, Division 2, 3 include but are not limited to roads, internal road yards and other assets of Phase 1, Division 2, 3 at the Nam Vinh Yen New Urban Area Project. Rights, interests and payments related to land use rights and infrastructure.",,,,0.87,
