row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Customers of Nam Vinh Yen New Urban Area Project,Customers of Nam Vinh Yen New Urban Area Project,Customers of Nam Vinh Yen New Urban Area Project,"1,273,246,165,450","1,154,188,323,011",,
"Customers of Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","Customers of Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","Customers of Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","843,390,510,337","172,454,594,804",,
Customers of Vi Thanh Commercial Residential Area Project,Customers of Vi Thanh Commercial Residential Area Project,Customers of Vi Thanh Commercial Residential Area Project,"129,288,849,766","150,177,830,024",,
"Customers of Chi Linh Center, Vung Tau Project","Customers of Chi Linh Center, Vung Tau Project","Customers of Chi Linh Center, Vung Tau Project","57,792,277,689","57,792,277,689",,
Customers of Dai Phuoc Urban Area Project,Customers of Dai Phuoc Urban Area Project,Customers of Dai Phuoc Urban Area Project,"49,315,242,992","87,832,426,940",,
Customers of Cap Saint Jacques Complex Project,Customers of Cap Saint Jacques Complex Project,Customers of Cap Saint Jacques Complex Project,"35,299,528,472","59,838,627,355",,
Customers of Hiep Phuoc Urban Area Project,Customers of Hiep Phuoc Urban Area Project,Customers of Hiep Phuoc Urban Area Project,"31,334,403,113","36,428,912,066",,
Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,"7,407,651,352","17,029,680,233",,
Customers of Phoenix High-Class Commercial Apartment,Customers of Phoenix High-Class Commercial Apartment,Customers of Phoenix High-Class Commercial Apartment,"1,822,163,618","3,523,498,281",,
Customers of other projects,Customers of other projects,Customers of other projects,"27,755,701,029","32,797,579,342",,
Total,Total,Total,"2,456,652,493,818","1,772,063,749,745",,
In which:,In which:,In which:,In which:,In which:,,
Related parties (Note VIII.2),Related parties (Note VIII.2),Related parties (Note VIII.2),"818,784,491,947","221,169,746,120",,
