row_label_raw,row_label_full,col_0,col_1,Beginning of year VND,Tăng VND,Giảm VND,End of year VND,numeric__col_1,numeric__Beginning of year VND,numeric__Tăng VND,numeric__Giảm VND,numeric__End of year VND
Short-term loan,Short-term loan,Short-term loan,Short-term loan,"1,719,142,391,013","963,918,836,280","1,406,483,569,624","1,276,577,657,669",,,,,
Loans from banks (Note 19.1),Loans from banks (Note 19.1),Loans from banks (Note 19.1),Loans from banks (Note 19.1),"134,259,435,313","367,675,889,063","143,208,340,995","358,726,983,381",,,,,
Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),"693,305,537,071","596,242,947,217","371,697,810,000","917,850,674,288",,,,,
Current portion of bonds (Note 19.3),Current portion of bonds (Note 19.3),Current portion of bonds (Note 19.3),Current portion of bonds (Note 19.3),"891,577,418,629",-,"891,577,418,629",-,,,,,
Long-term loan,Long-term loan,Long-term loan,Long-term loan,"943,323,289,692","1,529,077,753,752","708,512,334,815","1,763,888,708,629",,,,,
Loans from banks (Note 19.2),Loans from banks (Note 19.2),Loans from banks (Note 19.2),Loans from banks (Note 19.2),"692,823,489,692","234,677,953,752","726,145,383,217","201,356,060,227",,,,,
Bonds (Note 19.3),Bonds (Note 19.3),Bonds (Note 19.3),Bonds (Note 19.3),"250,499,800,000","1,294,399,800,000","(17,633,048,402)","1,562,532,648,402",,,,,
Total,Total,Total,Total,"2,662,465,680,705","2,492,996,590,032","2,114,995,904,439","3,040,466,366,298",,,,,
19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,19.1. Details of short-term bank loans are as follows:,,,,,
Objects,Objects,Objects,End of year VND,Interest rate (%/year),Collaterals,Collaterals,Collaterals,,,,,
Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,Objects > Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,"100,000,000,000",8%,"- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 296,327,000,000 VND.","- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 296,327,000,000 VND.","- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 296,327,000,000 VND.",,0.08,,,
Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,"258,726,983,381",5.5% - 8.7%,"- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.","- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.","- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.",,,,,
Total,Total,Total,"358,726,983,381",,,,,,,,,
