row_label_raw,row_label_full,col_0,End of year,End of year_1,End of year_2,Beginning of year,Beginning of year_1,Beginning of year_2,numeric__End of year,numeric__End of year_1,numeric__End of year_2,numeric__Beginning of year,numeric__Beginning of year_1,numeric__Beginning of year_2
,,,%,Original cost VND,Provision VND,%,Original cost VND,Provision VND,,,,,,
Investments in subsidiaries,Investments in subsidiaries,Investments in subsidiaries,,"3,051,307,053,422","(95,312,704,648)",,"2,100,696,733,295","(117,420,273,924)",,,,,,
DIC Hospitality Joint Stock Company,Investments in subsidiaries > DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,81.29,"944,498,221,388","(46,805,359,931)",78.30,"784,498,221,388","(38,187,842,201)",8129.0,,,7830.0,,
Dai Phuoc Thien An Company Limited,Investments in subsidiaries > Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,99.96,"1,133,538,347,100",-,99.96,"1,133,538,347,100",-,9996.0,,,9996.0,,
Dai Phuoc Thien Minh Company Limited,Investments in subsidiaries > Dai Phuoc Thien Minh Company Limited,Dai Phuoc Thien Minh Company Limited,99.99,"759,000,000,000",-,-,-,-,9999.0,,,,,
DIC Vision Development Investment Joint Stock Company,Investments in subsidiaries > DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,98.67,"59,200,000,000","(6,618,243,129)",98.67,"59,200,000,000","(3,907,275,506)",9867.0,,,9867.0,,
DIC Urban and Industrial zone Development Company Limited,Investments in subsidiaries > DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,100,"50,000,000,000","(478,313,228)",100,"1,700,468,233","(75,156,217)",100.0,,,100.0,,
Development Investment Construction Number 2 Joint Stock Company,Investments in subsidiaries > Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,50.14,"48,932,796,574",-,50.14,"31,782,796,574",-,5014.0,,,5014.0,,
Brothers DIC Ceramic Joint Stock Company (i),Investments in subsidiaries > Brothers DIC Ceramic Joint Stock Company (i),Brothers DIC Ceramic Joint Stock Company (i),49,"41,410,788,360","(41,410,788,360)",89.03,"75,250,000,000","(75,250,000,000)",49.0,,,8903.0,,
Development Investment Construction Number 1 JSC,Investments in subsidiaries > Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,51.68,"14,726,900,000",-,51.68,"14,726,900,000",-,5168.0,,,5168.0,,
Investments in associates,Investments in associates,Investments in associates,,"447,522,688,500","(225,400,000,000)",,"447,522,688,500","(225,400,000,000)",,,,,,
Southern Development Investment Joint Stock Company,Investments in associates > Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,43.35,"225,400,000,000","(225,400,000,000)",43.35,"225,400,000,000","(225,400,000,000)",4335.0,,,4335.0,,
DIC Holdings Construction Joint Stock Company,Investments in associates > DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,35.89,"171,602,184,500",-,35.89,"171,602,184,500",-,3589.0,,,3589.0,,
D.I.C Real Estate Joint Stock Company,Investments in associates > D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,42.68,"30,582,504,000",-,42.68,"19,938,000,000",-,4268.0,,,4268.0,,
Development Investment Construction - Concrete JSC,Investments in associates > Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,36.00,"19,938,000,000",-,36.00,"30,582,504,000",-,3600.0,,,3600.0,,
Investments in other entities,Investments in other entities,Investments in other entities,,"1,769,594,112",-,,"21,769,594,112","(20,000,000,000)",,,,,,
Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,,"1,610,000,000",-,,"1,610,000,000",-,,,,,,
Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,,"159,594,112",-,,"159,594,112",-,,,,,,
Phu Rieng-Kratie Rubber Joint Stock Company,Development Investment Construction Hoi An JSC > Phu Rieng-Kratie Rubber Joint Stock Company,Phu Rieng-Kratie Rubber Joint Stock Company,,-,-,5.00,"20,000,000,000","(20,000,000,000)",,,,500.0,,
Total,Total,Total,,"3,500,599,336,034","(320,712,704,648)",,"2,569,989,015,907","(362,820,273,924)",,,,,,
