row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2021 VND > 143.981.709.811,Phải nộp VND > 2.525.838.505.581,Đã nộp VND > (2.487.801.847.056),Chênh lệch quy đổi tiền tệ VND > (764.041),31/12/2021 VND > 182.017.604.295,numeric__1/1/2021 VND > 143.981.709.811,numeric__Phải nộp VND > 2.525.838.505.581,numeric__Đã nộp VND > (2.487.801.847.056),numeric__Chênh lệch quy đổi tiền tệ VND > (764.041),numeric__31/12/2021 VND > 182.017.604.295
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,472.615.387.982,2.320.981.674.175,(2.356.597.912.369),1.815.780,437.000.965.568,472615387982.0,2320981674175.0,-2356597912369.0,1815780.0,437000965568.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,36.154.993.512,249.024.310.232,(266.068.656.964),(1.968.927),19.108.677.853,36154993512.0,249024310232.0,-266068656964.0,-1968927.0,19108677853.0
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,5.276.169.416,180.587.971.561,(177.329.510.679),(12.743.427),8.521.886.871,5276169416.0,180587971561.0,-177329510679.0,-12743427.0,8521886871.0
Thuế khác,Thuế khác,Thuế khác,1.521.961.875,34.605.415.022,(34.629.349.922),(419.927),1.497.607.048,1521961875.0,34605415022.0,-34629349922.0,-419927.0,1497607048.0
,,,659.550.222.596,5.311.037.876.571,(5.322.427.276.990),(14.080.542),648.146.741.635,659550222596.0,5311037876571.0,-5322427276990.0,-14080542.0,648146741635.0
