row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia sức VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia sức VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.572.782.190.918,18.224.161.792.060,1.256.615.164.374,657.295.375.886,1.319.902.320.479,6.878.494.651,27.037.635.338.368,5572782190918.0,18224161792060.0,1256615164374.0,657295375886.0,1319902320479.0,6878494651.0,27037635338368.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,9.171.305.464,100.865.940.027,36.798.101.062,41.193.543.463,88.330.992.957,37.812.002,276.397.694.975,9171305464.0,100865940027.0,36798101062.0,41193543463.0,88330992957.0,37812002.0,276397694975.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,253.788.525.009,317.855.536.854,10.476.917.044,2.455.256.076,-,214.759.000,584.790.993.983,253788525009.0,317855536854.0,10476917044.0,2455256076.0,,214759000.0,584790993983.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,391.972.981.325,-,391.972.981.325,,,,,391972981325.0,,391972981325.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(16.828.971.741),(512.435.700),-,-,-,-,(17.341.407.441),-16828971741.0,-512435700.0,,,,,-17341407441.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,697.845.454,-,(830.145.456),-,132.300.002,-,-,697845454.0,,-830145456.0,,132300002.0,,
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(17.057.665.262),(59.383.445.613),(15.409.456.143),(5.411.249.613),(382.960.901.531),(154.239.828),(480.376.957.990),-17057665262.0,-59383445613.0,-15409456143.0,-5411249613.0,-382960901531.0,-154239828.0,-480376957990.0
(Giảm)/tăng khác,Nguyên giá > (Giảm)/tăng khác,(Giảm)/tăng khác,(2.816.644.810),(55.499.365.672),122.000.000,-,(84.529.057.304),-,(142.723.067.786),-2816644810.0,-55499365672.0,122000000.0,,-84529057304.0,,-142723067786.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(815.211.329),(3.674.870.065),(325.750.185),(109.926.899),(83.482.640),(3.268.760),(5.012.509.878),-815211329.0,-3674870065.0,-325750185.0,-109926899.0,-83482640.0,-3268760.0,-5012509878.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.798.921.373.703,18.523.813.151.891,1.287.446.830.696,695.422.998.913,1.332.765.153.288,6.973.557.065,27.645.343.065.556,5798921373703.0,18523813151891.0,1287446830696.0,695422998913.0,1332765153288.0,6973557065.0,27645343065556.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.184.257.360.770,10.386.860.192.140,787.588.750.157,492.515.882.597,462.882.320.588,6.223.953.702,14.320.328.459.954,2184257360770.0,10386860192140.0,787588750157.0,492515882597.0,462882320588.0,6223953702.0,14320328459954.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,295.013.929.550,1.416.431.846.964,81.106.449.207,47.591.633.331,223.814.424.590,579.547.565,2.064.537.831.207,295013929550.0,1416431846964.0,81106449207.0,47591633331.0,223814424590.0,579547565.0,2064537831207.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(13.220.276.630),(445.331.025),-,-,-,-,(13.665.607.655),-13220276630.0,-445331025.0,,,,,-13665607655.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,720.308.108,270.452.930,(990.351.733),-,126.647.585,(127.056.890),-,720308108.0,270452930.0,-990351733.0,,126647585.0,-127056890.0,
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(11.264.993.062),(45.953.992.314),(12.814.904.209),(5.402.987.587),(197.326.334.767),(116.427.826),(272.879.639.765),-11264993062.0,-45953992314.0,-12814904209.0,-5402987587.0,-197326334767.0,-116427826.0,-272879639765.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(868.465.483),(31.106.343.778),-,-,(38.123.517.398),-,(70.098.326.659),-868465483.0,-31106343778.0,,,-38123517398.0,,-70098326659.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(348.834.631),(2.253.746.076),(222.494.794),(106.911.761),(39.943.898),(2.309.885),(2.974.241.045),-348834631.0,-2253746076.0,-222494794.0,-106911761.0,-39943898.0,-2309885.0,-2974241045.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.454.289.028.622,11.723.803.078.841,854.667.448.628,534.597.616.580,451.333.596.700,6.557.706.666,16.025.248.476.037,2454289028622.0,11723803078841.0,854667448628.0,534597616580.0,451333596700.0,6557706666.0,16025248476037.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.388.524.830.148,7.837.301.599.920,469.026.414.217,164.779.493.289,857.019.999.891,654.540.949,12.717.306.878.414,3388524830148.0,7837301599920.0,469026414217.0,164779493289.0,857019999891.0,654540949.0,12717306878414.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.344.632.345.081,6.800.010.073.050,432.779.382.068,160.825.382.333,881.431.556.588,415.850.399,11.620.094.589.519,3344632345081.0,6800010073050.0,432779382068.0,160825382333.0,881431556588.0,415850399.0,11620094589519.0
