row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày1 tháng 1 năm 2021,Số dư tại ngày1 tháng 1 năm 2021,Số dư tại ngày1 tháng 1 năm 2021,20.899.554.450.000,-,202.658.418.215,(11.644.956.120),10.647.239.612,3.286.241.911.090,6.909.725.668.453,2.349.939.498.572,33.647.122.229.822,20899554450000.0,,202658418215.0,-11644956120.0,10647239612.0,3286241911090.0,6909725668453.0,2349939498572.0,33647122229822.0
Công ty con phát hành thêmcổ phiếu,Công ty con phát hành thêmcổ phiếu,Công ty con phát hành thêmcổ phiếu,-,-,-,-,-,-,(166.137.328.617),205.337.998.617,39.200.670.000,,,,,,,-166137328617.0,205337998617.0,39200670000.0
Công ty con nhận vốn góp,Công ty con nhận vốn góp,Công ty con nhận vốn góp,-,-,-,-,-,-,-,218.540.000.000,218.540.000.000,,,,,,,,218540000000.0,218540000000.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,34.110.709.700,-,11.644.956.120,-,-,-,14.364.328.733,60.119.994.553,,34110709700.0,,11644956120.0,,,,14364328733.0,60119994553.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,10.532.477.099.899,100.058.872.579,10.632.535.972.478,,,,,,,10532477099899.0,100058872579.0,10632535972478.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,-,1.066.198.750.215,(1.066.198.750.215),-,-,,,,,,1066198750215.0,-1066198750215.0,,
Trích quỹ khen thưởng vàphúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng vàphúc lợi (Thuyết minh V.20),Trích quỹ khen thưởng vàphúc lợi (Thuyết minh V.20),-,-,-,-,-,-,(1.092.036.658.532),(24.174.139.303),(1.116.210.797.835),,,,,,,-1092036658532.0,-24174139303.0,-1116210797835.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,-,-,673.755,(9.149.613),8.317.135,(158.723),,,,,,673755.0,-9149613.0,8317135.0,-158723.0
Cổ tức (Thuyết minh V.23),Cổ tức (Thuyết minh V.23),Cổ tức (Thuyết minh V.23),-,-,-,-,-,-,(7.523.560.503.000),-,(7.523.560.503.000),,,,,,,-7523560503000.0,,-7523560503000.0
Cổ tức của công ty con chia chocổ đông không kiểm soát,Cổ tức của công ty con chia chocổ đông không kiểm soát,Cổ tức của công ty con chia chocổ đông không kiểm soát,-,-,-,-,-,-,-,(97.239.487.900),(97.239.487.900),,,,,,,,-97239487900.0,-97239487900.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,-,(10.393.670.011),-,-,-,(10.393.670.011),,,,,-10393670011.0,,,,-10393670011.0
Số dư tại ngày31 tháng 12 năm 2021,Số dư tại ngày31 tháng 12 năm 2021,Số dư tại ngày31 tháng 12 năm 2021,20.899.554.450.000,34.110.709.700,202.658.418.215,-,253.569.601,4.352.441.335.060,7.594.260.378.375,2.766.835.388.433,35.850.114.249.384,20899554450000.0,34110709700.0,202658418215.0,,253569601.0,4352441335060.0,7594260378375.0,2766835388433.0,35850114249384.0
