row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Cơ sở hạ tầng VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Cơ sở hạ tầng VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,39.821.793.375,469.928.364,41.189.549.705,81.481.271.444,39821793375.0,469928364.0,41189549705.0,81481271444.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,512.435.700,16.828.971.741,17.341.407.441,,512435700.0,16828971741.0,17341407441.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,39.821.793.375,982.364.064,58.018.521.446,98.822.678.885,39821793375.0,982364064.0,58018521446.0,98822678885.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.342.256.731,469.928.364,14.672.112.308,21.484.297.403,6342256731.0,469928364.0,14672112308.0,21484297403.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,865.672.684,61.004.250,2.696.203.217,3.622.880.151,865672684.0,61004250.0,2696203217.0,3622880151.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,445.331.025,13.220.276.630,13.665.607.655,,445331025.0,13220276630.0,13665607655.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.207.929.415,976.263.639,30.588.592.155,38.772.785.209,7207929415.0,976263639.0,30588592155.0,38772785209.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,33.479.536.644,-,26.517.437.397,59.996.974.041,33479536644.0,,26517437397.0,59996974041.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,32.613.863.960,6.100.425,27.429.929.291,60.049.893.676,32613863960.0,6100425.0,27429929291.0,60049893676.0
