row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,723.044.213.359,276.413.594.392,164.964.058.635,124.275.417.881,49.931.700.000,1.338.628.984.267,723044213359.0,276413594392.0,164964058635.0,124275417881.0,49931700000.0,1338628984267.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,5.514.722.036,-,5.514.722.036,,,,5514722036.0,,5514722036.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,9.805.777.108,-,9.805.777.108,,,,9805777108.0,,9805777108.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(11.233.473.547),-,-,-,-,(11.233.473.547),-11233473547.0,,,,,-11233473547.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(829.324.172),-,-,(26.582.625),(195.300.000),(1.051.206.797),-829324172.0,,,-26582625.0,-195300000.0,-1051206797.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,710.981.415.640,276.413.594.392,164.964.058.635,139.569.334.400,49.736.400.000,1.341.664.803.067,710981415640.0,276413594392.0,164964058635.0,139569334400.0,49736400000.0,1341664803067.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,34.348.539.231,16.259.623.199,10.997.603.909,106.697.529.306,33.824.700.000,202.127.995.645,34348539231.0,16259623199.0,10997603909.0,106697529306.0,33824700000.0,202127995645.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.614.232.208,16.259.623.200,10.997.603.909,9.305.564.105,-,53.177.023.422,16614232208.0,16259623200.0,10997603909.0,9305564105.0,,53177023422.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(11.884.325),(132.300.005),(144.184.330),,,,-11884325.0,-132300005.0,-144184330.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,50.962.771.439,32.519.246.399,21.995.207.818,115.991.209.086,33.692.399.995,255.160.834.737,50962771439.0,32519246399.0,21995207818.0,115991209086.0,33692399995.0,255160834737.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,688.695.674.128,260.153.971.193,153.966.454.726,17.577.888.575,16.107.000.000,1.136.500.988.622,688695674128.0,260153971193.0,153966454726.0,17577888575.0,16107000000.0,1136500988622.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,660.018.644.201,243.894.347.993,142.968.850.817,23.578.125.314,16.044.000.005,1.086.503.968.330,660018644201.0,243894347993.0,142968850817.0,23578125314.0,16044000005.0,1086503968330.0
