row_label_raw,row_label_full,Bà Mai Kiều Liên,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Bùi Thị Hương,Bà Bùi Thị Hương,Bà Bùi Thị Hương,Giám đốc Điều hành – Nhân sự – Hành chính và Đối ngoại,
Ông Mai Hoài Anh,Ông Mai Hoài Anh,Ông Mai Hoài Anh,Giám đốc Điều hành – Kinh doanh,
Ông Lê Thành Liêm,Ông Lê Thành Liêm,Ông Lê Thành Liêm,Giám đốc Điều hành – Tài chính,
Ông Nguyễn Quang Trí,Ông Nguyễn Quang Trí,Ông Nguyễn Quang Trí,Giám đốc Điều hành – Tiếp thị (từ ngày 5 tháng 7 năm 2021),
Ông Phan Minh Tiên,Ông Phan Minh Tiên,Ông Phan Minh Tiên,Giám đốc Điều hành – Tiếp thị (đến ngày 1 tháng 6 năm 2021),
Bà Nguyễn Thị Thanh Hòa,Bà Nguyễn Thị Thanh Hòa,Bà Nguyễn Thị Thanh Hòa,Giám đốc Điều hành – Chuỗi cung ứng (đến ngày 1 tháng 1 năm 2022),
Ông Lê Hoàng Minh,Ông Lê Hoàng Minh,Ông Lê Hoàng Minh,Giám đốc Điều hành – Sản xuất (từ ngày 1 tháng 2 năm 2022),
Ông Trần Minh Văn,Ông Trần Minh Văn,Ông Trần Minh Văn,Giám đốc Điều hành – Sản xuất (đến ngày 1 tháng 2 năm 2022),
Ông Nguyễn Quốc Khánh,Ông Nguyễn Quốc Khánh,Ông Nguyễn Quốc Khánh,Giám đốc Điều hành – Nghiên cứu và Phát triển,
Ông Trịnh Quốc Dũng,Ông Trịnh Quốc Dũng,Ông Trịnh Quốc Dũng,Giám đốc Điều hành – Phát triển vùng nguyên liệu,
