row_label_raw,row_label_full,Tổng Giám đốc,Tổng Giám đốc_1,numeric__Tổng Giám đốc_1
Tiền lương trung bình một tháng,Tiền lương trung bình một tháng,Tiền lương trung bình một tháng,Tiền lương trung bình một tháng,
Bà Mai Kiều Liên,Tiền lương trung bình một tháng > Bà Mai Kiều Liên,Bà Mai Kiều Liên,366,366.0
Những người quản lý khác,Những người quản lý khác,Những người quản lý khác,Những người quản lý khác,
Tiền lương trung bình một tháng cho một người,Tiền lương trung bình một tháng cho một người,Tiền lương trung bình một tháng cho một người,Tiền lương trung bình một tháng cho một người,
Các Giám đốc Điều hành,Tiền lương trung bình một tháng cho một người > Các Giám đốc Điều hành,Các Giám đốc Điều hành,218,218.0
