row_label_raw,row_label_full,col_0,2023 > Mã số,2023 > Theo báo cáo trước đây VND,2023 > Điều chỉnh lại VND,2023 > Đã điều chỉnh lại VND,numeric__2023 > Mã số,numeric__2023 > Theo báo cáo trước đây VND,numeric__2023 > Điều chỉnh lại VND,numeric__2023 > Đã điều chỉnh lại VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,388.918.155.240,(132.938.450.567),255.979.704.673,1.0,388918155240.0,-132938450567.0,255979704673.0
Khẩu hao và phân bổ,Khẩu hao và phân bổ,Khẩu hao và phân bổ,02,763.378.294.562,8.136.812.418,771.515.106.980,2.0,763378294562.0,8136812418.0,771515106980.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,413.735.295.286,87.867.914.192,501.603.209.478,9.0,413735295286.0,87867914192.0,501603209478.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,(23.954.281.021),(13.788.684.889),(37.742.965.910),10.0,-23954281021.0,-13788684889.0,-37742965910.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(281.225.384.255),69.800.634.402,(211.424.749.853),11.0,-281225384255.0,69800634402.0,-211424749853.0
"Tiền chỉ mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chỉ mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chỉ mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(474.556.898.735),(17.695.192.472),(492.252.091.207),21.0,-474556898735.0,-17695192472.0,-492252091207.0
Chênh lệch tỷ giá hồi đoái do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hồi đoái do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hồi đoái do quy đổi đơn vị tiền tệ báo cáo,61,221.878.783,(1.383.033.084),(1.161.154.301),61.0,221878783.0,-1383033084.0,-1161154301.0
