row_label_raw,row_label_full,col_0,Xây lắp và xây dựng VND,Sản xuất công nghiệp VND,Bắt động sản VND,Năng lượng VND,Thương mại VND,"Khai thác, vận hành Khu Công nghiệp VND",Khai khoáng VND,Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Xây lắp và xây dựng VND,numeric__Sản xuất công nghiệp VND,numeric__Bắt động sản VND,numeric__Năng lượng VND,numeric__Thương mại VND,"numeric__Khai thác, vận hành Khu Công nghiệp VND",numeric__Khai khoáng VND,numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,,,,,,,,,,
Doanh thu hợp nhất của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Doanh thu hợp nhất của bộ phận,Doanh thu hợp nhất của bộ phận,5.285.078.775.132,1.581.906.381.343,44.268.528.613,1.793.512.897.375,963.624.187.857,599.664.683.839,2.977.772.087.865,117.846.878.266,(3.274.772.799.671),10.088.901.620.619,5285078775132.0,1581906381343.0,44268528613.0,1793512897375.0,963624187857.0,599664683839.0,2977772087865.0,117846878266.0,-3274772799671.0,10088901620619.0
Giá vốn hàng bán bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Giá vốn hàng bán bộ phân,Giá vốn hàng bán bộ phân,(5.041.373.321.868),(1.428.042.082.448),(23.405.763.259),(854.536.585.123),(952.021.397.380),(450.850.045.824),(2.367.570.349.563),(107.936.778.887),3.229.229.304.724,(7.996.507.019.628),-5041373321868.0,-1428042082448.0,-23405763259.0,-854536585123.0,-952021397380.0,-450850045824.0,-2367570349563.0,-107936778887.0,3229229304724.0,-7996507019628.0
Kết quả kinh doanh của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Kết quả kinh doanh của bộ phân,Kết quả kinh doanh của bộ phân,243.705.453.264,153.864.298.895,20.862.765.354,938.976.312.252,11.602.790.477,148.814.638.015,610.201.738.302,9.910.099.379,(45.543.494.947),2.092.394.600.991,243705453264.0,153864298895.0,20862765354.0,938976312252.0,11602790477.0,148814638015.0,610201738302.0,9910099379.0,-45543494947.0,2092394600991.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,
Chi phí quản lý doanh nghiệp,Chi phí bán hàng > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(78.532.757.514),,,,,,,,,,-78532757514.0
Doanh thu hoạt động tài chính,Chi phí bán hàng > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,(487.725.540.156),,,,,,,,,,-487725540156.0
Chi phí tài chính,Chi phí bán hàng > Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,138.085.670.369,,,,,,,,,,138085670369.0
Phần lãi trong công ty liên kết,Chi phí bán hàng > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,(881.568.197.542),,,,,,,,,,-881568197542.0
Kết quả từ các hoạt động khác,Chi phí bán hàng > Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,45.794.608.983,,,,,,,,,,45794608983.0
