row_label_raw,row_label_full,col_0,Mã số,1/1/2024 > Theo báo cáo trước đây VND,1/1/2024 > Điều chỉnh lại VND,1/1/2024 > Đã điều chỉnh lại VND,numeric__Mã số,numeric__1/1/2024 > Theo báo cáo trước đây VND,numeric__1/1/2024 > Điều chỉnh lại VND,numeric__1/1/2024 > Đã điều chỉnh lại VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,1.928.169.781.905,(50.200.798.000),1.877.968.983.905,131.0,1928169781905.0,-50200798000.0,1877968983905.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,944.433.461.208,13.788.684.889,958.222.146.097,141.0,944433461208.0,13788684889.0,958222146097.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,226.395.550.873,(148.418.025.140),77.977.525.733,152.0,226395550873.0,-148418025140.0,77977525733.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9.519.201.639.687,120.309.289.002,9.639.510.928.689,221.0,9519201639687.0,120309289002.0,9639510928689.0
Nguyên giá,Nguyên giá,Nguyên giá,222,12.419.829.155.708,128.446.101.420,12.548.275.257.128,222.0,12419829155708.0,128446101420.0,12548275257128.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(2.900.627.516.021),(8.136.812.418),(2.908.764.328.439),223.0,-2900627516021.0,-8136812418.0,-2908764328439.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,107.818.401.504,4.868.162.775,112.686.564.279,242.0,107818401504.0,4868162775.0,112686564279.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,136.780.178.266,32.662.325.000,169.442.503.266,312.0,136780178266.0,32662325000.0,169442503266.0
Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,Thuế và các khoản khác phải nộp Nhà nước,313,113.446.376.786,30.471.089.016,143.917.465.802,313.0,113446376786.0,30471089016.0,143917465802.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,105.169.358,(1.383.033.084),(1.277.863.726),417.0,105169358.0,-1383033084.0,-1277863726.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,956.798.821.659,(103.805.236.721),852.993.584.938,421.0,956798821659.0,-103805236721.0,852993584938.0
Lợi nhuận sau thuế năm nay,Lợi nhuận sau thuế năm nay,Lợi nhuận sau thuế năm nay,421b,137.082.323.571,(103.805.236.721),33.277.086.850,,137082323571.0,-103805236721.0,33277086850.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,2.086.717.131.154,(17.597.830.685),2.069.119.300.469,429.0,2086717131154.0,-17597830685.0,2069119300469.0
