row_label_raw,row_label_full,col_0,Xây lắp và xây dựng VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Thương mại VND,"Khai thác, vận hành Khu Công nghiệp VND",Khai khoáng VND,Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp và xây dựng VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Thương mại VND,"numeric__Khai thác, vận hành Khu Công nghiệp VND",numeric__Khai khoáng VND,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,,,,,,
Tải sản của bộ phận Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2024 > Tải sản của bộ phận Tài sản không phân bổ,Tải sản của bộ phận Tài sản không phân bổ,1.902.631.794.913,723.731.548.075,1.309.608.304.859,9.008.063.060.286,241.386.683.338,1.399.100.103.337,2.170.526.667.505,27.819.880.071,16.782.868.042.3844.204.776.698.744,1902631794913.0,723731548075.0,1309608304859.0,9008063060286.0,241386683338.0,1399100103337.0,2170526667505.0,27819880071.0,1.678286804238442e+26
Tổng tài sản,Tại ngày 31 tháng 12 năm 2024 > Tổng tài sản,Tổng tài sản,1.902.631.794.913,723.731.548.075,1.309.608.304.859,9.008.063.060.286,241.386.683.338,1.399.100.103.337,2.170.526.667.505,27.819.880.071,20.987.644.741.128,1902631794913.0,723731548075.0,1309608304859.0,9008063060286.0,241386683338.0,1399100103337.0,2170526667505.0,27819880071.0,20987644741128.0
Nợ phải trả của bộ phân Nợ phải trả không phân bổ,Tại ngày 31 tháng 12 năm 2024 > Nợ phải trả của bộ phân Nợ phải trả không phân bổ,Nợ phải trả của bộ phân Nợ phải trả không phân bổ,1.600.967.413.927,511.673.313.711,405.093.392.252,5.406.095.610.792,4.396.392.430,36.453.218.308,1.439.154.983.426,10.079.376.073,9.413.913.700.9193.857.711.747.313,1600967413927.0,511673313711.0,405093392252.0,5406095610792.0,4396392430.0,36453218308.0,1439154983426.0,10079376073.0,9.413913700919385e+25
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2024 > Tổng nợ phải trả,Tổng nợ phải trả,1.600.967.413.927,511.673.313.711,405.093.392.252,5.406.095.610.792,4.396.392.430,36.453.218.308,1.439.154.983.426,10.079.376.073,13.271.625.448.232,1600967413927.0,511673313711.0,405093392252.0,5406095610792.0,4396392430.0,36453218308.0,1439154983426.0,10079376073.0,13271625448232.0
Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,Cho năm kết thúc ngày 31 tháng 12 năm 2024,,,,,,,,,
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,12.087.381.208,28.751.027.771,658.125.908,20.168.478.436,-,42.264.954.186,130.204.202.650,361.446.824,234.495.616.983,12087381208.0,28751027771.0,658125908.0,20168478436.0,,42264954186.0,130204202650.0,361446824.0,234495616983.0
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,137.756.617.361,13.781.020.069,1.140.490.051,376.066.914.222,-,18.148.266.141,212.660.366.549,-,759.553.674.393,137756617361.0,13781020069.0,1140490051.0,376066914222.0,,18148266141.0,212660366549.0,,759553674393.0
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,219.846.464,17.586.936.688,-,-,-,356.284.750,42.758.707.921,-,60.921.775.823,219846464.0,17586936688.0,,,,356284750.0,42758707921.0,,60921775823.0
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,719.034.972,-,-,-,-,-,-,-,719.034.972,719034972.0,,,,,,,,719034972.0
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,4.276.124.919,-,1.306.897.517,-,-,13.282.764.912,-,-,18.865.787.348,4276124919.0,,1306897517.0,,,13282764912.0,,,18865787348.0
Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,Chi tiêu vốn Khẩu hao tài sản cổ định hữu hình,-,-,3.561.645.403,27.785.389.507,-,1.961.471.982,1.785.866.937,-,35.094.373.829,,,3561645403.0,27785389507.0,,1961471982.0,1785866937.0,,35094373829.0
