row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,Chi phí sửa chữa tài sản VND,Tiền thuê đất trả trước VND,Chi phí giải phóng mặt bằng của các nhà máy thủy điện (*) VND,Chi phí giải phóng mặt bằng của các nhà máy điện gió VND,Quyền sử dụng khu đất 120 Định Công VND,Chi phí thuê hạ tầng VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí sửa chữa tài sản VND,numeric__Tiền thuê đất trả trước VND,numeric__Chi phí giải phóng mặt bằng của các nhà máy thủy điện (*) VND,numeric__Chi phí giải phóng mặt bằng của các nhà máy điện gió VND,numeric__Quyền sử dụng khu đất 120 Định Công VND,numeric__Chi phí thuê hạ tầng VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.476.083.808,15.676.027.118,9.682.960.255,111.069.822.306,11.979.155.590,192.928.100.767,62.099.554.928,67.897.230.827,478.808.935.599,7476083808.0,15676027118.0,9682960255.0,111069822306.0,11979155590.0,192928100767.0,62099554928.0,67897230827.0,478808935599.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,5.293.532.570,9.499.316.912,-,-,911.868.000,-,-,52.092.032.142,67.796.749.624,5293532570.0,9499316912.0,,,911868000.0,,,52092032142.0,67796749624.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 20),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 20),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 20),-,5.666.682.758,-,-,-,-,-,-,5.666.682.758,,5666682758.0,,,,,,,5666682758.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(5.784.574.739),(9.762.171.508),(2.458.435.836),(2.852.203.332),(333.308.241),-,(1.663.962.445),(43.418.027.846),(66.272.683.947),-5784574739.0,-9762171508.0,-2458435836.0,-2852203332.0,-333308241.0,,-1663962445.0,-43418027846.0,-66272683947.0
Phân loại lai,Phân loại lai,Phân loại lai,-,-,13.459.600.778,-,-,-,-,(13.459.600.778),-,,,13459600778.0,,,,,-13459600778.0,
Chuyển sang chi phí sản xuất kinh doanh dở dang dài hạn,Chuyển sang chi phí sản xuất kinh doanh dở dang dài hạn,Chuyển sang chi phí sản xuất kinh doanh dở dang dài hạn,-,-,-,-,-,(192.928.100.767),-,-,(192.928.100.767),,,,,,-192928100767.0,,,-192928100767.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,229.958.947,-,-,(1.696.440.811),-,-,-,(674.599.538),(2.141.081.402),229958947.0,,,-1696440811.0,,,,-674599538.0,-2141081402.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,7.215.000.586,21.079.855.280,20.684.125.197,106.521.178.163,12.557.715.349,-,60.435.592.483,62.437.034.807,290.930.501.865,7215000586.0,21079855280.0,20684125197.0,106521178163.0,12557715349.0,,60435592483.0,62437034807.0,290930501865.0
