row_label_raw,row_label_full,col_0,Xây lắp và xây dựng VND,Sản xuất công nghiệp VND,Bắt động sản VND,Năng lượng VND,Thương mại VND,"Khai thác, vận hành khu công nghiệp VND",Khai khoáng VND Đã điều chỉnh lại,Các hoạt động khác VND,Hợp nhất VND Đã điều chỉnh lại,numeric__Xây lắp và xây dựng VND,numeric__Sản xuất công nghiệp VND,numeric__Bắt động sản VND,numeric__Năng lượng VND,numeric__Thương mại VND,"numeric__Khai thác, vận hành khu công nghiệp VND",numeric__Khai khoáng VND Đã điều chỉnh lại,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND Đã điều chỉnh lại
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,,,,,,,,,
Tải sản của bộ phận Tài sản không phân bổ,Tại ngày 1 tháng 1 năm 2024 > Tải sản của bộ phận Tài sản không phân bổ,Tải sản của bộ phận Tài sản không phân bổ,1.785.112.438.471,615.627.526.236,641.021.661.625,9.375.187.205.478,427.528.123.407,967.507.580.226,2.063.841.041.187,60.903.882.697,15.936.729.459.3274.238.415.423.613,1785112438471.0,615627526236.0,641021661625.0,9375187205478.0,427528123407.0,967507580226.0,2063841041187.0,60903882697.0,1.5936729459327423e+26
Tổng tài sản,Tại ngày 1 tháng 1 năm 2024 > Tổng tài sản,Tổng tài sản,,,,,,,,,20.175.144.882.940,,,,,,,,,20175144882940.0
Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Tại ngày 1 tháng 1 năm 2024 > Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Nợ phải trả của bộ phận Nợ phải trả không phân bổ,1.285.497.458.389,462.921.677.656,175.788.886.205,5.961.831.694.396,87.253.110.028,46.218.223.152,1.439.010.636.513,3.828.607.130,9.462.350.293.4693.565.183.379.117,1285497458389.0,462921677656.0,175788886205.0,5961831694396.0,87253110028.0,46218223152.0,1439010636513.0,3828607130.0,9.462350293469356e+25
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2024 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,13.027.533.672.586,,,,,,,,,13027533672586.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,,
Chi tiêu vốn Khấu hao tài sản,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi tiêu vốn Khấu hao tài sản,Chi tiêu vốn Khấu hao tài sản,7.472.558.750,16.465.294.758,-,25.554.140.852,-,19.878.004.297,417.551.228.726,19.400.866.320,506.322.093.703,7472558750.0,16465294758.0,,25554140852.0,,19878004297.0,417551228726.0,19400866320.0,506322093703.0
cổ định hữu hình Khấu hao tài sản,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > cổ định hữu hình Khấu hao tài sản,cổ định hữu hình Khấu hao tài sản,19.195.175.416,10.976.436.527,1.308.947.444,502.465.450.199,-,15.719.182.762,90.736.504.951,7.031.049.896,647.432.747.195,19195175416.0,10976436527.0,1308947444.0,502465450199.0,,15719182762.0,90736504951.0,7031049896.0,647432747195.0
cổ định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > cổ định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính,cổ định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính,83.832.799,30.768.719,-,-,-,17.837.760.714,45.466.804.505,255.999.998,63.675.166.735,83832799.0,30768719.0,,,,17837760714.0,45466804505.0,255999998.0,63675166735.0
Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,714.741.008,-,-,-,-,-,-,-,714.741.008,714741008.0,,,,,,,,714741008.0
Phân bổ lợi thể thương mại,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Phân bổ lợi thể thương mại,Phân bổ lợi thể thương mại,-,-,11.283.445.0123.561.645.403,-27.785.389.507,-,13.314.633.2011.961.471.982,-1.785.866.937,-,24.598.078.21335.094.373.829,,,1.1283445012356165e+20,-27785389507.0,,1.3314633201196147e+20,-1785866937.0,,2.4598078213350946e+21
