row_label_raw,row_label_full,col_0,Thuế suất áp dụng,31/12/2024 VND,1/1/2024 VND,numeric__Thuế suất áp dụng,numeric__31/12/2024 VND,numeric__1/1/2024 VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Hàng tồn kho,Tài sản thuế thu nhập hoãn lại: > Hàng tồn kho,Hàng tồn kho,20%,1.120.138.530,2.611.849.364,0.2,1120138530.0,2611849364.0
Tài sản cố định,Tài sản thuế thu nhập hoãn lại: > Tài sản cố định,Tài sản cố định,20%,27.517.011.859,25.220.668.171,0.2,27517011859.0,25220668171.0
Xây dựng cơ bản dở dang,Tài sản thuế thu nhập hoãn lại: > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,20%,1.169.977.722,4.201.763.973,0.2,1169977722.0,4201763973.0
Các khoản khác,Tài sản thuế thu nhập hoãn lại: > Các khoản khác,Các khoản khác,20%,473.793.162,2.192.252.584,0.2,473793162.0,2192252584.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,30.280.921.273,34.226.534.092,,30280921273.0,34226534092.0
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,,
Tài sản cố định,Thuế thu nhập hoãn lại phải trả: > Tài sản cố định,Tài sản cố định,20%,(164.298.912.250),(173.598.586.632),0.2,-164298912250.0,-173598586632.0
Tài sản cố định,Thuế thu nhập hoãn lại phải trả: > Tài sản cố định,Tài sản cố định,10%,(35.100.407.888),(36.842.269.367),0.1,-35100407888.0,-36842269367.0
Hàng tồn kho,Thuế thu nhập hoãn lại phải trả: > Hàng tồn kho,Hàng tồn kho,20%,(303.714.448),(303.714.448),0.2,-303714448.0,-303714448.0
Dự phòng đầu tư dài hạn,Thuế thu nhập hoãn lại phải trả: > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,20%,(7.465.603.887),-,0.2,-7465603887.0,
Chi phí sản xuất kinh doanh dở dang dài hạn,Thuế thu nhập hoãn lại phải trả: > Chi phí sản xuất kinh doanh dở dang dài hạn,Chi phí sản xuất kinh doanh dở dang dài hạn,20%,(40.509.837.431),-,0.2,-40509837431.0,
Lãi từ đánh giá lại giá trị hợp lý khi tăng vốn từ công ty liên kết thành công ty con,Thuế thu nhập hoãn lại phải trả: > Lãi từ đánh giá lại giá trị hợp lý khi tăng vốn từ công ty liên kết thành công ty con,Lãi từ đánh giá lại giá trị hợp lý khi tăng vốn từ công ty liên kết thành công ty con,20%,(52.402.000.000),(52.402.000.000),0.2,-52402000000.0,-52402000000.0
Lỗ thanh lý công ty con,Thuế thu nhập hoãn lại phải trả: > Lỗ thanh lý công ty con,Lỗ thanh lý công ty con,20%,(757.751.421),(757.751.421),0.2,-757751421.0,-757751421.0
Chi phí trả trước dài hạn,Thuế thu nhập hoãn lại phải trả: > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,20%,-,(38.651.428.518),0.2,,-38651428518.0
Các khoản khác,Thuế thu nhập hoãn lại phải trả: > Các khoản khác,Các khoản khác,20%,(4.367.294.811),(2.430.966.046),0.2,-4367294811.0,-2430966046.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,(305.205.522.136),(304.986.716.432),,-305205522136.0,-304986716432.0
,,,,(274.924.600.863),(270.760.182.340),,-274924600863.0,-270760182340.0
