row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2024VND,1/1/2024VND,,
Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty,,
Công ty Cổ phần Cơ điện Đại Dũng,Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty > Công ty Cổ phần Cơ điện Đại Dũng,Công ty Cổ phần Cơ điện Đại Dũng,32.306.117.963,-,32306117963.0,
Công ty Cổ phần Minh Hưng M&C (trước đây là “Công ty Cổ phần Đầu tư xây dựng Đình Tân”),Các bên có người quản lý chủ chốt là thành viên mật thiết với người quản lý chủ chốt của Công ty > Công ty Cổ phần Minh Hưng M&C (trước đây là “Công ty Cổ phần Đầu tư xây dựng Đình Tân”),Công ty Cổ phần Minh Hưng M&C (trước đây là “Công ty Cổ phần Đầu tư xây dựng Đình Tân”),5.669.517.606,-,5669517606.0,
Các bên thứ ba khác,Các bên thứ ba khác,Các bên thứ ba khác,Các bên thứ ba khác,Các bên thứ ba khác,,
Công ty Cổ phần Đầu tư và Chuyển giao Công nghệ Thăng Long,Các bên thứ ba khác > Công ty Cổ phần Đầu tư và Chuyển giao Công nghệ Thăng Long,Công ty Cổ phần Đầu tư và Chuyển giao Công nghệ Thăng Long,110.037.444.656,-,110037444656.0,
Công ty Cổ phần Cáp điện và Hệ thống LS-Vina,Các bên thứ ba khác > Công ty Cổ phần Cáp điện và Hệ thống LS-Vina,Công ty Cổ phần Cáp điện và Hệ thống LS-Vina,101.670.943.560,-,101670943560.0,
Công ty Cổ phần Dịch vụ Thương mại Hòa Thịnh,Các bên thứ ba khác > Công ty Cổ phần Dịch vụ Thương mại Hòa Thịnh,Công ty Cổ phần Dịch vụ Thương mại Hòa Thịnh,50.562.242.897,-,50562242897.0,
Công ty Cổ phần Thịnh Cường,Các bên thứ ba khác > Công ty Cổ phần Thịnh Cường,Công ty Cổ phần Thịnh Cường,43.599.805.132,83.134.119.522,43599805132.0,83134119522.0
Siemens Energy Limited Company,Các bên thứ ba khác > Siemens Energy Limited Company,Siemens Energy Limited Company,-,96.229.903.174,,96229903174.0
Tổng Công ty Khoáng sản TKV – CTCP,Các bên thứ ba khác > Tổng Công ty Khoáng sản TKV – CTCP,Tổng Công ty Khoáng sản TKV – CTCP,-,73.920.000.000,,73920000000.0
Khác,Các bên thứ ba khác > Khác,Khác,776.818.287.975,795.317.927.051,776818287975.0,795317927051.0
,,,1.120.664.359.789,1.048.601.949.747,1120664359789.0,1048601949747.0
