row_label_raw,row_label_full,Ban Quản lý Dự án Lưới điện Miền Nam,31/12/2024VND > 66.904.600.092,1/1/2024VNDĐã điều chỉnh lại > -,numeric__31/12/2024VND > 66.904.600.092,numeric__1/1/2024VNDĐã điều chỉnh lại > -
Công ty TNHH Điện gió Đông Thành 1,Công ty TNHH Điện gió Đông Thành 1,Công ty TNHH Điện gió Đông Thành 1,31.515.453.438,31.515.453.438,31515453438.0,31515453438.0
Ban Quản lý Dự án Điện lực Miền Nam,Ban Quản lý Dự án Điện lực Miền Nam,Ban Quản lý Dự án Điện lực Miền Nam,23.036.620.441,-,23036620441.0,
Ban Quản lý Dự án lưới điện Hà Nội,Ban Quản lý Dự án lưới điện Hà Nội,Ban Quản lý Dự án lưới điện Hà Nội,22.752.187.170,-,22752187170.0,
Ban Quản lý Dự án các công trình điện Miền Nam,Ban Quản lý Dự án các công trình điện Miền Nam,Ban Quản lý Dự án các công trình điện Miền Nam,21.360.763.271,-,21360763271.0,
Ban Quản lý Đường sắt Đô thị,Ban Quản lý Đường sắt Đô thị,Ban Quản lý Đường sắt Đô thị,-,31.214.189.119,,31214189119.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,133.640.127.094,106.712.860.709,133640127094.0,106712860709.0
,,,299.209.751.506,169.442.503.266,299209751506.0,169442503266.0
