row_label_raw,row_label_full,col_0,Mãsố,2024VND,2023VNDĐã điều chỉnh lại,numeric__Mãsố,numeric__2024VND,numeric__2023VNDĐã điều chỉnh lại
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,839.010.630.813,255.979.704.673,1.0,839010630813.0,255979704673.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,877.613.082.201,771.515.106.980,2.0,877613082201.0,771515106980.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,72.564.007.143,8.927.585.946,3.0,72564007143.0,8927585946.0
Lỗ chênh lệch tỷ giá đánh giá lại các khoản mục có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ chênh lệch tỷ giá đánh giá lại các khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá đánh giá lại các khoản mục có gốc ngoại tệ,04,135.493.717.598,87.854.980.078,4.0,135493717598.0,87854980078.0
Lãi từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(151.743.983.202),(188.221.520.054),5.0,-151743983202.0,-188221520054.0
Chi phí đi vay,Điều chỉnh cho các khoản > Chi phí đi vay,Chi phí đi vay,06,701.206.757.837,848.375.555.662,6.0,701206757837.0,848375555662.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,2.474.144.212.390,1.784.431.413.285,8.0,2474144212390.0,1784431413285.0
Biến động các khoản phải thu,Điều chỉnh cho các khoản > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(266.543.535.144),501.603.209.478,9.0,-266543535144.0,501603209478.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(628.938.061.378),(37.742.965.910),10.0,-628938061378.0,-37742965910.0
Biến động các khoản phải trả và nợ phải trả khác,Điều chỉnh cho các khoản > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,322.176.376.246,(211.424.749.853),11.0,322176376246.0,-211424749853.0
