row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2024 VND,1/1/2024 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__1/1/2024 VND Đã điều chỉnh lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,8.085.980.091.224,6.683.571.516.940,100.0,,8085980091224.0,6683571516940.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,2.277.327.707.879,2.082.217.682.721,110.0,6.0,2277327707879.0,2082217682721.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,734.582.707.879,472.109.384.006,111.0,,734582707879.0,472109384006.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,1.542.745.000.000,1.610.108.298.715,112.0,,1542745000000.0,1610108298715.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,1.016.759.191.654,780.833.305.437,120.0,,1016759191654.0,780833305437.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,7(a),1.016.759.191.654,780.833.305.437,123.0,,1016759191654.0,780833305437.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.112.002.764.045,2.771.030.121.203,130.0,,3112002764045.0,2771030121203.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,2.015.189.876.899,1.877.968.983.905,131.0,8.0,2015189876899.0,1877968983905.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,9,456.269.424.703,217.194.103.053,132.0,9.0,456269424703.0,217194103053.0
