row_label_raw,row_label_full,Asian Development Bank – B Loan > Ngân hàng TMCP Công thương Việt Nam,Loại tiên > USD > VND,Lãi suất năm > Sofr kỳ hạn 3 tháng + biên độ (*),Năm đáo hạn > 2036 > 2032,"Tài sản bảo đảm > Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên > Tài sản hình thành từ Dự án Nhà máy Tuyên quãng Niken - Đồng",31/12/2024 VND > 1.660.238.919.837 > 818.905.248.588,1/1/2024 VND > 1.790.290.700.012 > 983.905.248.588,numeric__Loại tiên > USD > VND,numeric__Lãi suất năm > Sofr kỳ hạn 3 tháng + biên độ (*),numeric__Năm đáo hạn > 2036 > 2032,"numeric__Tài sản bảo đảm > Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên > Tài sản hình thành từ Dự án Nhà máy Tuyên quãng Niken - Đồng",numeric__31/12/2024 VND > 1.660.238.919.837 > 818.905.248.588,numeric__1/1/2024 VND > 1.790.290.700.012 > 983.905.248.588
Asian Development Bank – A Loan,Asian Development Bank – A Loan,Asian Development Bank – A Loan,USD,"5,5103%-5,517%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",717.387.217.208,773.582.431.955,,,2036.0,,717387217208.0,773582431955.0
Export Finance Australia,Export Finance Australia,Export Finance Australia,USD,"4,65% - 5,02%",2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",655.896.867.534,707.275.348.923,,,2036.0,,655896867534.0,707275348923.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,(*),2029,Toàn bộ phần vốn góp của PCI tại Asia Dragon Trading Pte.Ltd và Công ty Phát triển Khu công nghiệp Nhật Bản – Hải Phòng,541.000.000.000,-,,,2029.0,,541000000000.0,
Japan International Cooperation Agency,Japan International Cooperation Agency,Japan International Cooperation Agency,USD,Sofr kỳ hạn 6 tháng + biên độ (*),2036,"Tài sản hình thành từ Dự án Điện gió Liên Lập, Phong Huy, Phong Nguyên",512.423.628.257,552.558.844.932,,,2036.0,,512423628257.0,552558844932.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,Sofr kỳ hạn 6 tháng + biên độ (*),2032,Tài sản hình thành từ Dự án Thủy điện Mông Ân,372.585.979.418,386.100.000.000,,,2032.0,,372585979418.0,386100000000.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,(*),2026,"Tài sản hình thành từ Dự án Tháp Vàng, Phú Thị",350.054.116.104,-,,,2026.0,,350054116104.0,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,(**),2030,Tài sản hình thành từ Dự án Thủy điện Bảo Lâm 1,338.968.395.700,386.968.395.700,,,2030.0,,338968395700.0,386968395700.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,(*),2032,Tài sản hình thành từ Dự án Thủy điện Bảo Lạc B,274.986.568.179,305.034.568.179,,,2032.0,,274986568179.0,305034568179.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,(*),2030,Tài sản hình thành từ Dự án Thủy điện Bảo Lâm 3,262.709.898.607,310.709.898.607,,,2030.0,,262709898607.0,310709898607.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,(**),2029,Tài sản hình thành từ Dự án Thủy điện Trung Thu,224.440.000.000,269.328.000.000,,,2029.0,,224440000000.0,269328000000.0
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,(*),2030,Tài sản hình thành từ Dự án Thủy điện Bảo Lâm 3A,145.862.523.972,152.212.523.972,,,2030.0,,145862523972.0,152212523972.0
