row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2024 VND,1/1/2024 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__1/1/2024 VND Đã điều chỉnh lại
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,8.193.478.346.872,8.249.779.334.674,330.0,,8193478346872.0,8249779334674.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,,480.757.160,926.919.632,336.0,,480757160.0,926919632.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,28(b),12.033.085.858,10.845.031.988,337.0,,12033085858.0,10845031988.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,29(b),7.830.630.395.563,7.902.006.174.976,338.0,,7830630395563.0,7902006174976.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,22,305.205.522.136,304.986.716.432,341.0,22.0,305205522136.0,304986716432.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,30,45.128.586.155,31.014.491.646,342.0,30.0,45128586155.0,31014491646.0
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,7.716.019.292.896,7.147.611.210.354,400.0,,7716019292896.0,7147611210354.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,32,7.716.019.292.896,7.147.611.210.354,410.0,32.0,7716019292896.0,7147611210354.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,33,3.576.421.210.000,3.109.955.580.000,411.0,33.0,3576421210000.0,3109955580000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.576.421.210.000,3.109.955.580.000,,,3576421210000.0,3109955580000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,711.136.556.786,711.136.556.786,412.0,,711136556786.0,711136556786.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,50.847.073.442,46.847.073.442,414.0,,50847073442.0,46847073442.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,708.285.511,708.285.511,416.0,,708285511.0,708285511.0
Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,Chênh lệch tỷ giá hối doái,417,,(3.183.517.143),(1.277.863.726),417.0,,-3183517143.0,-1277863726.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,298.573.907.310,292.725.159.814,418.0,,298573907310.0,292725159814.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,65.403.533.120,65.403.533.120,420.0,,65403533120.0,65403533120.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,826.354.445.227,852.993.584.938,421.0,,826354445227.0,852993584938.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,364.771.554.741,819.716.498.088,,,364771554741.0,819716498088.0
- LNST năm nay,- LNST năm nay,- LNST năm nay,421b,,461.582.890.486,33.277.086.850,,,461582890486.0,33277086850.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,2.189.757.798.643,2.069.119.300.469,429.0,,2189757798643.0,2069119300469.0
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,20.987.644.741.128,20.175.144.882.940,440.0,,20987644741128.0,20175144882940.0
