row_label_raw,row_label_full,Thuế giá trị gia tăng (*),1/1/2024 – đã điều chỉnh lại > Số phải thu VND > -,1/1/2024 – đã điều chỉnh lại > Số phải nộp VND > 27.002.841.082,Số phải nộp trong năm VND > 202.540.181.430,Số đã nộp/bù trừ trong năm VND > (205.191.517.178),31/12/2024 > Số phải thu VND > -,31/12/2024 > Số phải nộp VND > 24.351.505.334,numeric__1/1/2024 – đã điều chỉnh lại > Số phải thu VND > -,numeric__1/1/2024 – đã điều chỉnh lại > Số phải nộp VND > 27.002.841.082,numeric__Số phải nộp trong năm VND > 202.540.181.430,numeric__Số đã nộp/bù trừ trong năm VND > (205.191.517.178),numeric__31/12/2024 > Số phải thu VND > -,numeric__31/12/2024 > Số phải nộp VND > 24.351.505.334
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,(479.632),-,316.985.694.252,(293.089.811.828),-,23.895.402.792,-479632.0,,316985694252.0,-293089811828.0,,23895402792.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(761.034.370),53.303.354.682,124.870.818.560,(76.541.785.887),(760.222.543),101.631.575.528,-761034370.0,53303354682.0,124870818560.0,-76541785887.0,-760222543.0,101631575528.0
Số dư – như báo cáo trước đây,Số dư – như báo cáo trước đây,Số dư – như báo cáo trước đây,(761.034.370),64.860.106.555,-,-,-,-,-761034370.0,64860106555.0,,,,
Điều chỉnh lại (Thuyết minh 48),Điều chỉnh lại (Thuyết minh 48),Điều chỉnh lại (Thuyết minh 48),-,(11.556.751.873),-,-,-,-,,-11556751873.0,,,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(265.779.457),1.826.958.355,23.352.974.579,(23.160.055.959),(93.958.862),1.848.056.380,-265779457.0,1826958355.0,23352974579.0,-23160055959.0,-93958862.0,1848056380.0
Thuế tài nguyên (**),Thuế tài nguyên (**),Thuế tài nguyên (**),-,52.737.936.718,188.879.558.892,(170.846.083.757),-,70.771.411.853,,52737936718.0,188879558892.0,-170846083757.0,,70771411853.0
Số dư – như báo cáo trước đây,Số dư – như báo cáo trước đây,Số dư – như báo cáo trước đây,-,10.710.095.829,-,-,-,-,,10710095829.0,,,,
Điều chỉnh lại (Thuyết minh 48),Điều chỉnh lại (Thuyết minh 48),Điều chỉnh lại (Thuyết minh 48),-,42.027.840.889,-,-,-,-,,42027840889.0,,,,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(280.115.578),237.290.873,578.834.924.020,(579.068.154.485),(276.055.170),-,-280115578.0,237290873.0,578834924020.0,-579068154485.0,-276055170.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,7.272.570.324,43.640.901.604,(50.913.471.928),-,-,,7272570324.0,43640901604.0,-50913471928.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,5.220.198.755,(5.220.198.755),-,-,,,5220198755.0,-5220198755.0,,
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,1.536.513.768,48.464.208.033,(42.376.382.578),(43.271.240),7.667.610.463,,1536513768.0,48464208033.0,-42376382578.0,-43271240.0,7667610463.0
,,,(1.307.409.037),143.917.465.802,1.532.789.460.125,(1.446.407.462.355),(1.173.507.815),230.165.562.350,-1307409037.0,143917465802.0,1532789460125.0,-1446407462355.0,-1173507815.0,230165562350.0
