row_label_raw,row_label_full,col_0,2024VND,2023VNDĐã điều chỉnh lại,numeric__2024VND,numeric__2023VNDĐã điều chỉnh lại
"Giá vốn hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp","Giá vốn hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp","Giá vốn hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp",3.428.358.689.800,2.372.274.698.716,3428358689800.0,2372274698716.0
Giá vốn bán tỉnh quặng khoáng sản,Giá vốn bán tỉnh quặng khoáng sản,Giá vốn bán tỉnh quặng khoáng sản,1.146.153.010.488,516.565.167.657,1146153010488.0,516565167657.0
Giá vốn bán điện,Giá vốn bán điện,Giá vốn bán điện,760.402.029.935,724.542.698.502,760402029935.0,724542698502.0
Giá vốn hoạt động sản xuất công nghiệp,Giá vốn hoạt động sản xuất công nghiệp,Giá vốn hoạt động sản xuất công nghiệp,1.313.703.277.941,1.048.752.856.813,1313703277941.0,1048752856813.0
"Giá vốn bán hàng hóa, vật tư","Giá vốn bán hàng hóa, vật tư","Giá vốn bán hàng hóa, vật tư",831.146.744.500,976.253.338.260,831146744500.0,976253338260.0
"Giá vốn khai thác, vận hành khu công nghiệp","Giá vốn khai thác, vận hành khu công nghiệp","Giá vốn khai thác, vận hành khu công nghiệp",450.520.308.384,475.527.762.175,450520308384.0,475527762175.0
Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,14.940.529.320,99.433.178.443,14940529320.0,99433178443.0
Giá vốn cho thuê bất động sản đầu tư,Giá vốn cho thuê bất động sản đầu tư,Giá vốn cho thuê bất động sản đầu tư,3.421.989.423,8.699.335.901,3421989423.0,8699335901.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,48.434.426.129,31.282.682.219,48434426129.0,31282682219.0
Hoàn nhập dự phòng giảm giá hàng tồn kho,Hoàn nhập dự phòng giảm giá hàng tồn kho,Hoàn nhập dự phòng giảm giá hàng tồn kho,(573.986.292),(7.716.745.172),-573986292.0,-7716745172.0
,,,7.996.507.019.628,6.245.614.973.514,7996507019628.0,6245614973514.0
