row_label_raw,row_label_full,col_0,Mã số,2024 VND,2023 VND Đã điều chỉnh lại,numeric__Mã số,numeric__2024 VND,numeric__2023 VND Đã điều chỉnh lại
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát,Tiền thu từ phát hành cổ phiếu cho cổ đông không kiểm soát,31,44.200.000.000,3.213.643.532,31.0,44200000000.0,3213643532.0
Tiền thu từ đi vay ngắn và dài hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay ngắn và dài hạn,Tiền thu từ đi vay ngắn và dài hạn,33,7.718.291.063.222,5.792.450.483.265,33.0,7718291063222.0,5792450483265.0
Tiền chi trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,(7.826.829.309.098),(7.161.637.703.122),34.0,-7826829309098.0,-7161637703122.0
Tiền chi trả nợ thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi trả nợ thuê tài chính,Tiền chi trả nợ thuê tài chính,35,(1.454.373.074),(1.577.956.458),35.0,-1454373074.0,-1577956458.0
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,(202.587.071.346),(124.230.827.303),36.0,-202587071346.0,-124230827303.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(268.379.690.296),(1.491.782.360.086),40.0,-268379690296.0,-1491782360086.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,175.465.583.612,(512.706.959.656),50.0,175465583612.0,-512706959656.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,2.082.217.682.721,2.581.357.801.353,60.0,2082217682721.0,2581357801353.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,21.550.094.963,14.727.995.325,61.0,21550094963.0,14727995325.0
Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hối đoái do quy đổi đơn vị tiền tệ báo cáo,61,(1.905.653.417),(1.161.154.301),61.0,-1905653417.0,-1161154301.0
Tiền và các khoản tương đương tiền cuối năm(70 = 50 + 60 + 61) (Thuyết minh 6),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm(70 = 50 + 60 + 61) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm(70 = 50 + 60 + 61) (Thuyết minh 6),70,2.277.327.707.879,2.082.217.682.721,70.0,2277327707879.0,2082217682721.0
