row_label_raw,row_label_full,col_0,2024VND,2023VNDĐã điều chỉnh lại,numeric__2024VND,numeric__2023VNDĐã điều chỉnh lại
"Doanh thu hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp","Doanh thu hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp","Doanh thu hoạt động xây lắp, cung cấp thiết bị điện và xây dựng hạ tầng khu công nghiệp",3.686.739.333.726,2.607.422.011.497,3686739333726.0,2607422011497.0
Doanh thu bán tỉnh quặng khoáng sản,Doanh thu bán tỉnh quặng khoáng sản,Doanh thu bán tỉnh quặng khoáng sản,1.710.873.778.599,623.898.233.059,1710873778599.0,623898233059.0
Doanh thu bán điện,Doanh thu bán điện,Doanh thu bán điện,1.706.289.302.547,1.460.798.810.292,1706289302547.0,1460798810292.0
Doanh thu hoạt động sản xuất công nghiệp,Doanh thu hoạt động sản xuất công nghiệp,Doanh thu hoạt động sản xuất công nghiệp,1.457.375.933.958,1.166.132.058.047,1457375933958.0,1166132058047.0
"Doanh thu bán hàng hóa, vật tư","Doanh thu bán hàng hóa, vật tư","Doanh thu bán hàng hóa, vật tư",837.422.249.307,994.824.547.901,837422249307.0,994824547901.0
"Doanh thu khai thác, vận hành khu công nghiệp","Doanh thu khai thác, vận hành khu công nghiệp","Doanh thu khai thác, vận hành khu công nghiệp",599.334.946.399,614.102.201.835,599334946399.0,614102201835.0
Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,23.597.687.931,160.297.723.757,23597687931.0,160297723757.0
Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,Doanh thu cho thuê bất động sản đầu tư,15.627.596.166,26.903.425.827,15627596166.0,26903425827.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,51.640.791.986,39.402.050.449,51640791986.0,39402050449.0
,,,10.088.901.620.619,7.693.781.062.664,10088901620619.0,7693781062664.0
