row_label_raw,row_label_full,col_0,Tỷ lệ % sở hữu và % quyền biểu quyết,31/12/2024Giá trị ghi số theo phương pháp vốn chủ VND,Giá trị hợp lý VND,numeric__Tỷ lệ % sở hữu và % quyền biểu quyết,numeric__31/12/2024Giá trị ghi số theo phương pháp vốn chủ VND,numeric__Giá trị hợp lý VND
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,"25,09%",86.390.209.542,(*),0.2509,86390209542.0,
Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,"49,00%",300.000.000.000,(*),0.49,300000000000.0,
Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,"30,08%",1.253.444.218.798,(*),0.30079999999999996,1253444218798.0,
Công ty Cổ phần Kho bãi Phú Bình,Công ty Cổ phần Kho bãi Phú Bình,Công ty Cổ phần Kho bãi Phú Bình,"36,00%",68.400.000.000,(*),0.36,68400000000.0,
,,,,1.708.234.428.340,,,1708234428340.0,
,,,Tỷ lệ % sở hữu và % quyền biểu quyết,1/1/2024Giá trị ghi số theo phương pháp vốn chủ VND,Giá trị hợp lý VND,,,
Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,Công ty Cổ phần Gang thép Cao Bằng,"25,09%",126.907.281.952,(*),0.2509,126907281952.0,
Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,Công ty Cổ phần Đầu tư Bất động sản CT2,"49,00%",300.000.000.000,(*),0.49,300000000000.0,
Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,"30,08%",1.110.046.466.720,(*),0.30079999999999996,1110046466720.0,
Công ty Cổ phần Kho bãi Phú Bình,Công ty Cổ phần Kho bãi Phú Bình,Công ty Cổ phần Kho bãi Phú Bình,"36,00%",68.400.000.000,(*),0.36,68400000000.0,
,,,,1.605.353.748.672,,,1605353748672.0,
