row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhửu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhửu hình khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,978.458.558.517,1.531.978.960.683,334.033.239.260,18.695.700.948,45.597.869.031,2.908.764.328.439,978458558517.0,1531978960683.0,334033239260.0,18695700948.0,45597869031.0,2908764328439.0
Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),Giá trị hao mòn lũy kế > Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),974.617.251.5483.841.306.969,1.527.729.377.1084.249.583.575,334.002.295.85430.943.406,18.680.722.48014.978.468,45.597.869.031-,2.900.627.516.0218.136.812.418,9.74617251548384e+21,1.5277293771084249e+22,3.340022958543094e+19,1.8680722480149786e+18,,2.9006275160218135e+22
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,256.091.871.298,468.044.276.801(15.569.381.184),27.245.315.692(5.821.766.361),3.861.750.331-,4.310.460.271-,759.553.674.393(21.391.147.545),256091871298.0,,,,,
Thanh lý-Xóa số,Giá trị hao mòn lũy kế > Thanh lý-Xóa số,Thanh lý-Xóa số,(331.388.034),-,-,-,-,(331.388.034),-331388034.0,,,,,-331388034.0
Giảm do thanh lý công ty con(Thuyết minh 4),Giá trị hao mòn lũy kế > Giảm do thanh lý công ty con(Thuyết minh 4),Giảm do thanh lý công ty con(Thuyết minh 4),,(32.995.261),-,-,-,(32.995.261),,-32995261.0,,,,-32995261.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.234.219.041.781,1.984.420.861.039,355.456.788.591,22.557.451.279,49.908.329.302,3.646.562.471.992,1234219041781.0,1984420861039.0,355456788591.0,22557451279.0,49908329302.0,3646562471992.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,3.584.232.475.270,5.926.572.411.842,103.598.349.684,14.532.221.050,10.575.470.843,9.639.510.928.689,3584232475270.0,5926572411842.0,103598349684.0,14532221050.0,10575470843.0,9639510928689.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.480.163.402.313,5.359.992.965.136,110.088.291.717,13.131.934.180,7.419.322.572,8.970.795.915.918,3480163402313.0,5359992965136.0,110088291717.0,13131934180.0,7419322572.0,8970795915918.0
