row_label_raw,row_label_full,Năm kết thúc ngày,Việt Nam > 31/12/2024VND,Việt Nam > 31/12/2023VND,Singapore > 31/12/2024VND,Singapore > 31/12/2023VNDĐã điều chỉnh lại,Hợp nhất > 31/12/2024VND,Hợp nhất > 31/12/2023VNDĐã điều chỉnh lại,numeric__Việt Nam > 31/12/2024VND,numeric__Việt Nam > 31/12/2023VND,numeric__Singapore > 31/12/2024VND,numeric__Singapore > 31/12/2023VNDĐã điều chỉnh lại,numeric__Hợp nhất > 31/12/2024VND,numeric__Hợp nhất > 31/12/2023VNDĐã điều chỉnh lại
Doanh thu bán ra bên ngoài,Doanh thu bán ra bên ngoài,Doanh thu bán ra bên ngoài,8.378.027.842.020,7.069.882.829.605,1.710.873.778.599,623.898.233.059,10.088.901.620.619,7.693.781.062.664,8378027842020.0,7069882829605.0,1710873778599.0,623898233059.0,10088901620619.0,7693781062664.0
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,234.495.616.983,506.322.093.703,-,-,234.495.616.983,506.322.093.703,234495616983.0,506322093703.0,,,234495616983.0,506322093703.0
Tại ngày,Tại ngày,Tại ngày,31/12/2024VND,31/12/2023VND,31/12/2024VND,31/12/2023VNDĐã điều chỉnh lại,31/12/2024VND,31/12/2023VNDĐã điều chỉnh lại,,,,,,
Tài sản bộ phận,Tại ngày > Tài sản bộ phận,Tài sản bộ phận,20.955.239.643.987,20.158.857.394.690,32.405.097.141,16.287.488.250,20.987.644.741.128,20.175.144.882.940,20955239643987.0,20158857394690.0,32405097141.0,16287488250.0,20987644741128.0,20175144882940.0
