row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch đánh giá lại tài sản VND,Chênh lệch tỷ giá hối doài VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Chênh lệch tỷ giá hối doài VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,2.704.330.020.000,711.136.556.786,29.026.800.000,708.285.511,(116.709.425),261.072.092.951,65.418.160.381,1.344.532.665.968,2.056.638.211.199,7.172.746.083.371,2704330020000.0,711136556786.0,29026800000.0,708285511.0,-116709425.0,261072092951.0,65418160381.0,1344532665968.0,2056638211199.0,7172746083371.0
Tăng vốn tai công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,Tăng vốn tai công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,Tăng vốn tai công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,-,-,23.051.946.468,-,-,(2.879.601.168),(14.627.261),(20.157.718.039),-,-,,,23051946468.0,,,-2879601168.0,-14627261.0,-20157718039.0,,
Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,-,-,-,-,-,-,-,-,3.213.643.532,3.213.643.532,,,,,,,,,3213643532.0,3213643532.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),405.625.560.000,-,-,-,-,-,-,(405.625.560.000),-,-,405625560000.0,,,,,,,-405625560000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,139.972.323.571,163.060.665.930,303.032.989.501,,,,,,,,139972323571.0,163060665930.0,303032989501.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(70.711.269.837),(684.685.897),(71.395.955.734),,,,,,,,-70711269837.0,-684685897.0,-71395955734.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,34.532.668.031,-,(34.532.668.031),-,-,,,,,,34532668031.0,,-34532668031.0,,
Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,-,-,-,-,-,-,-,-,(161.815.088.795),(161.815.088.795),,,,,,,,,-161815088795.0,-161815088795.0
Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,-,-,-,-,-,-,-,(1.188.616.282),-,(1.188.616.282),,,,,,,,-1188616282.0,,-1188616282.0
Thoái một phần vốn tại công ty con nhưng vẫn nằm quyền kiểm soát,Thoái một phần vốn tại công ty con nhưng vẫn nằm quyền kiểm soát,Thoái một phần vốn tại công ty con nhưng vẫn nằm quyền kiểm soát,-,-,(5.231.673.026),-,-,-,-,7.399.664.309,26.304.385.185,28.472.376.468,,,-5231673026.0,,,,,7399664309.0,26304385185.0,28472376468.0
Chênh lệch tỷ giá hồi doai do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hồi doai do quy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá hồi doai do quy đổi đơn vị tiền tệ báo cáo,-,-,-,-,221.878.783,-,-,-,-,221.878.783,,,,,221878783.0,,,,,221878783.0
Thù lao HDQT,Thù lao HDQT,Thù lao HDQT,-,-,-,-,-,-,-,(2.890.000.000),-,(2.890.000.000),,,,,,,,-2890000000.0,,-2890000000.0
Số dư tại ngày 1/1/2024(theo báo cáo trước đây),Số dư tại ngày 1/1/2024(theo báo cáo trước đây),Số dư tại ngày 1/1/2024(theo báo cáo trước đây),3.109.955.580.000,711.136.556.786,46.847.073.442,708.285.511,105.169.358,292.725.159.814,65.403.533.120,956.798.821.659,2.086.717.131.154,7.270.397.310.844,3109955580000.0,711136556786.0,46847073442.0,708285511.0,105169358.0,292725159814.0,65403533120.0,956798821659.0,2086717131154.0,7270397310844.0
