row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhữu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhữu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Nguyên giá > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,4.562.691.033.787,7.458.551.372.525,437.631.588.944,33.227.921.998,56.173.339.874,12.548.275.257.128,4562691033787.0,7458551372525.0,437631588944.0,33227921998.0,56173339874.0,12548275257128.0
Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),Nguyên giá > Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),Số dư đầu năm – như báo cáo trước đâyĐiều chỉnh lại (Thuyết minh 48),4.490.916.121.93171.774.911.856,7.402.759.299.56455.792.072.961,436.867.823.789763.765.155,33.112.570.550115.351.448,56.173.339.874-,12.419.829.155.708128.446.101.420,4.4909161219317176e+23,7.402759299564557e+23,4.368678237897638e+20,3.3112570550115353e+19,,1.2419829155708127e+25
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.437.318.379,20.877.304.861,7.412.286.912,2.458.317.065,1.154.312.000,36.339.539.217,4437318379.0,20877304861.0,7412286912.0,2458317065.0,1154312000.0,36339539217.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,71.409.357.178,16.075.528.970,29.499.752.908,-,-,116.984.639.056,71409357178.0,16075528970.0,29499752908.0,,,116984639056.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(16.804.919.561),(8.972.561.849),-,-,(25.777.481.410),,-16804919561.0,-8972561849.0,,,-25777481410.0
Xoá số,Nguyên giá > Xoá số,Xoá số,(331.388.034),-,-,-,-,(331.388.034),-331388034.0,,,,,-331388034.0
Điều chỉnh theo quyết toán,Nguyên giá > Điều chỉnh theo quyết toán,Điều chỉnh theo quyết toán,59.951.768.630,(136.526.197.917),50.800.000,-,-,(76.523.629.287),59951768630.0,-136526197917.0,50800000.0,,,-76523629287.0
Giảm do thanh lý công ty con(Thuyết minh 4),Nguyên giá > Giảm do thanh lý công ty con(Thuyết minh 4),Giảm do thanh lý công ty con(Thuyết minh 4),-,(46.327.200),-,-,-,(46.327.200),,-46327200.0,,,,-46327200.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,16.224.354.154,2.287.064.497,(76.786.607),3.146.396,-,18.437.778.440,16224354154.0,2287064497.0,-76786607.0,3146396.0,,18437778440.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.714.382.444.094,7.344.413.826.175,465.545.080.308,35.689.385.459,57.327.651.874,12.617.358.387.910,4714382444094.0,7344413826175.0,465545080308.0,35689385459.0,57327651874.0,12617358387910.0
