row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2024VND,2023VND,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,Công ty Cổ phần Western Pacific,,
Mua cổ phần,Công ty Cổ phần Western Pacific > Mua cổ phần,Mua cổ phần,90.243.900.000,-,90243900000.0,
Lợi nhuận được chia,Công ty Cổ phần Western Pacific > Lợi nhuận được chia,Lợi nhuận được chia,33.029.268.000,-,33029268000.0,
Công ty Cổ phần kho bãi Phú Bình,Công ty Cổ phần kho bãi Phú Bình,Công ty Cổ phần kho bãi Phú Bình,Công ty Cổ phần kho bãi Phú Bình,Công ty Cổ phần kho bãi Phú Bình,,
Vay,Công ty Cổ phần kho bãi Phú Bình > Vay,Vay,22.000.000.000,-,22000000000.0,
Hoàn trả khoản vay,Công ty Cổ phần kho bãi Phú Bình > Hoàn trả khoản vay,Hoàn trả khoản vay,22.000.000.000,-,22000000000.0,
Chi phí lãi vay,Công ty Cổ phần kho bãi Phú Bình > Chi phí lãi vay,Chi phí lãi vay,113.301.370,-,113301370.0,
Các bên có người quản lý chủ chốt là thành viênmật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viênmật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viênmật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viênmật thiết với người quản lý chủ chốt của Công ty,Các bên có người quản lý chủ chốt là thành viênmật thiết với người quản lý chủ chốt của Công ty,,
Công ty Cổ phần Cơ điện Đại Dũng,Công ty Cổ phần Cơ điện Đại Dũng,Công ty Cổ phần Cơ điện Đại Dũng,Công ty Cổ phần Cơ điện Đại Dũng,Công ty Cổ phần Cơ điện Đại Dũng,,
Doanh thu dịch vụ xây lắp,Công ty Cổ phần Cơ điện Đại Dũng > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,39.402.848.900,-,39402848900.0,
Mua hàng,Công ty Cổ phần Cơ điện Đại Dũng > Mua hàng,Mua hàng,79.166.213.680,-,79166213680.0,
Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”),,
Doanh thu dịch vụ xây lắp,Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”) > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,11.173.944.456,-,11173944456.0,
Mua hàng,Công ty Cổ phần Minh Hưng M&C (trước dây là “Côngty Cổ phần Đầu tư xây dựng Định Tân”) > Mua hàng,Mua hàng,25.332.449.710,-,25332449710.0,
Thù lao và thường của Hội đồng Quản trị,Thù lao và thường của Hội đồng Quản trị,Thù lao và thường của Hội đồng Quản trị,Thù lao và thường của Hội đồng Quản trị,Thù lao và thường của Hội đồng Quản trị,,
Ông Trịnh Văn Tuân,Thù lao và thường của Hội đồng Quản trị > Ông Trịnh Văn Tuân,Ông Trịnh Văn Tuân,3.975.000.000,1.810.000.000,3975000000.0,1810000000.0
Ông Vũ Ánh Dương,Thù lao và thường của Hội đồng Quản trị > Ông Vũ Ánh Dương,Ông Vũ Ánh Dương,540.000.000,270.000.000,540000000.0,270000000.0
Ông Võ Hồng Quang,Thù lao và thường của Hội đồng Quản trị > Ông Võ Hồng Quang,Ông Võ Hồng Quang,540.000.000,270.000.000,540000000.0,270000000.0
Ông Nguyễn Minh Độ,Thù lao và thường của Hội đồng Quản trị > Ông Nguyễn Minh Độ,Ông Nguyễn Minh Độ,540.000.000,270.000.000,540000000.0,270000000.0
Ông Phan Ngọc Hiếu (từ ngày 26/4/2024),Thù lao và thường của Hội đồng Quản trị > Ông Phan Ngọc Hiếu (từ ngày 26/4/2024),Ông Phan Ngọc Hiếu (từ ngày 26/4/2024),360.000.000,-,360000000.0,
Ông Mai Lương Việt (đến ngày 1/2/2024),Thù lao và thường của Hội đồng Quản trị > Ông Mai Lương Việt (đến ngày 1/2/2024),Ông Mai Lương Việt (đến ngày 1/2/2024),45.000.000,270.000.000,45000000.0,270000000.0
"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc","Lương, thường và phúc lợi khác của Ban Tổng Giám đốc","Lương, thường và phúc lợi khác của Ban Tổng Giám đốc","Lương, thường và phúc lợi khác của Ban Tổng Giám đốc","Lương, thường và phúc lợi khác của Ban Tổng Giám đốc",,
Ông Vũ Ánh Dương,"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Vũ Ánh Dương",Ông Vũ Ánh Dương,1.306.734.106,1.125.749.371,1306734106.0,1125749371.0
Ông Võ Hồng Quang,"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Võ Hồng Quang",Ông Võ Hồng Quang,1.244.577.696,871.136.214,1244577696.0,871136214.0
Ông Nguyễn Minh Độ,"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Nguyễn Minh Độ",Ông Nguyễn Minh Độ,206.000.000,206.000.000,206000000.0,206000000.0
Ông Đăng Quốc Tường,"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Đăng Quốc Tường",Ông Đăng Quốc Tường,918.759.840,994.540.361,918759840.0,994540361.0
Ông Nguyễn Nhật Tân,"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Nguyễn Nhật Tân",Ông Nguyễn Nhật Tân,851.733.190,878.279.634,851733190.0,878279634.0
Ông Trịnh Ngọc Anh (từ ngày 15/7/2024),"Lương, thường và phúc lợi khác của Ban Tổng Giám đốc > Ông Trịnh Ngọc Anh (từ ngày 15/7/2024)",Ông Trịnh Ngọc Anh (từ ngày 15/7/2024),315.074.696,-,315074696.0,
