row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Chung cư cho thuê VND,Nhà xưởng VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Chung cư cho thuê VND,numeric__Nhà xưởng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.974.479.862,157.755.932.150(21.341.182.331),395.357.617.000,558.088.029.012(21.341.182.331),4974479862.0,,395357617000.0,
Thanh lý,Thanh lý,Thanh lý,-,157.755.932.150(21.341.182.331),-,558.088.029.012(21.341.182.331),,,,
Số dư cuối năm,Thanh lý > Số dư cuối năm,Số dư cuối năm,4.974.479.862,136.414.749.819,395.357.617.000,536.746.846.681,4974479862.0,136414749819.0,395357617000.0,536746846681.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.684.968.425,55.994.085.496,353.733.802.769,412.412.856.690,2684968425.0,55994085496.0,353733802769.0,412412856690.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,104.177.436,5.583.022.436,13.178.587.476,18.865.787.348,104177436.0,5583022436.0,13178587476.0,18865787348.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(6.634.379.620),-,(6.634.379.620),,-6634379620.0,,-6634379620.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.789.145.861,54.942.728.312,366.912.390.245,424.644.264.418,2789145861.0,54942728312.0,366912390245.0,424644264418.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.289.511.437,101.761.846.654,41.623.814.231,145.675.172.322,2289511437.0,101761846654.0,41623814231.0,145675172322.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.185.334.001,81.472.021.507,28.445.226.755,112.102.582.263,2185334001.0,81472021507.0,28445226755.0,112102582263.0
