row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,của chủ sở hữu VND,đánh giá lại tài sản VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__của chủ sở hữu VND,numeric__đánh giá lại tài sản VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,3.109.955.580.000,711.136.556.786,46.847.073.442,708.285.511,(1.277.863.726),292.725.159.814,65.403.533.120,852.993.584.938,2.069.119.300.469,7.147.611.210.354,3109955580000.0,711136556786.0,46847073442.0,708285511.0,-1277863726.0,292725159814.0,65403533120.0,852993584938.0,2069119300469.0,7147611210354.0
Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),3.109.955.580.000,711.136.556.786,46.847.073.442,708.285.511,105.169.358,292.725.159.814,65.403.533.120,956.798.821.659,2.086.717.131.154,7.270.397.310.844,3109955580000.0,711136556786.0,46847073442.0,708285511.0,105169358.0,292725159814.0,65403533120.0,956798821659.0,2086717131154.0,7270397310844.0
Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),Số dư tại ngày 1/1/2024 – theo báo cáo trước dây Điều chỉnh lại (Thuyết minh 48),-,-,-,-,(1.383.033.084),-,-,(103.805.236.721),(17.597.830.685),(122.786.100.490),,,,,-1383033084.0,,,-103805236721.0,-17597830685.0,-122786100490.0
Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối và các quỹ thuộc vốn chủ sở hữu,-,-,5.000.000.000,-,-,(5.000.000.000),-,-,-,-,,,5000000000.0,,,-5000000000.0,,,,
Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,-,-,-,-,-,-,-,-,44.200.000.000,44.200.000.000,,,,,,,,,44200000000.0,44200000000.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),466.465.630.000,-,-,-,-,-,-,(466.465.630.000),-,-,466465630000.0,,,,,,,-466465630000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,467.582.890.486,242.392.503.244,709.975.393.730,,,,,,,,467582890486.0,242392503244.0,709975393730.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(17.125.651.021),(1.254.993.081),(18.380.644.102),,,,,,,,-17125651021.0,-1254993081.0,-18380644102.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,11.124.148.057,-,(11.124.148.057),-,-,,,,,,11124148057.0,,-11124148057.0,,
Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,-,-,-,-,-,-,-,-,(180.531.509.787),(180.531.509.787),,,,,,,,,-180531509787.0,-180531509787.0
Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,Biến động do thay đổi vốn chủ sở hữu của công ty liên kết,-,-,-,-,-,-,-,(128.561.315),-,(128.561.315),,,,,,,,-128561315.0,,-128561315.0
Thoái một phần vốn tại công ty con nhưng vấn năm quyền kiểm soát,Thoái một phần vốn tại công ty con nhưng vấn năm quyền kiểm soát,Thoái một phần vốn tại công ty con nhưng vấn năm quyền kiểm soát,-,-,(1.000.000.000),-,-,-,-,848.269.093,15.551.730.907,15.400.000.000,,,-1000000000.0,,,,,848269093.0,15551730907.0,15400000000.0
Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,-,-,-,-,(1.905.653.417),-,-,-,-,(1.905.653.417),,,,,-1905653417.0,,,,,-1905653417.0
Thù lao HĐQT,Thù lao HĐQT,Thù lao HĐQT,-,-,-,-,-,-,-,(6.000.000.000),-,(6.000.000.000),,,,,,,,-6000000000.0,,-6000000000.0
Thanh lý công ty con (Thuyết minh 4),Thanh lý công ty con (Thuyết minh 4),Thanh lý công ty con (Thuyết minh 4),-,-,-,-,-,-,-,-,(4.351.338.386),(4.351.338.386),,,,,,,,,-4351338386.0,-4351338386.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(275.400.561),-,5.773.691.103,4.632.105.277,10.130.395.819,,,,,,-275400561.0,,5773691103.0,4632105277.0,10130395819.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,3.576.421.210.000,711.136.556.786,50.847.073.442,708.285.511,(3.183.517.143),298.573.907.310,65.403.533.120,826.354.445.227,2.189.757.798.643,7.716.019.292.896,3576421210000.0,711136556786.0,50847073442.0,708285511.0,-3183517143.0,298573907310.0,65403533120.0,826354445227.0,2189757798643.0,7716019292896.0
