row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Địa chỉ,31/12/2024,31/12/2024_1,1/1/2024,1/1/2024_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Địa chỉ,numeric__31/12/2024,numeric__31/12/2024_1,numeric__1/1/2024,numeric__1/1/2024_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Địa chỉ,Tỷ lệ % sở hữu,Tỷ lệ % quyền biểu quyết,Tỷ lệ % sở hữu,Tỷ lệ % quyền biểu quyết,,,,,,,
23,STT > 23,23,Công ty Cổ phần Thiết bị Thương mại,Cho thuê nhà xưởng,Hà Nội,"99,75%","99,75%","99,75%","99,75%",,,,0.9975,0.9975,0.9975,0.9975
24,STT > 24,24,Asia Dragon Trading Pte. Ltd. (viii),Bán buôn kim loại và quặng kim loại,Singapore,"100,00%","100,00%","100,00%","100,00%",,,,1.0,1.0,1.0,1.0
25,STT > 25,25,Công ty Cổ phần KCN Quốc tế Hải Phòng (vi),Kinh doanh cơ sở hạ tầng của khu công nghiệp,Hải Phòng,"99,96%","99,96%","99,00%","99,00%",,,,0.9995999999999999,0.9995999999999999,0.99,0.99
26,STT > 26,26,Công ty Phát triển Khu Công nghiệp Nhật Bản – Hải Phòng (viii),"Đầu tư, xây dựng và kinh doanh cơ sở hạ tầng, tiện ích, dịch vụ của khu công nghiệp",Hải Phòng,"70,00%","70,00%","70,00%","70,00%",,,,0.7,0.7,0.7,0.7
27,STT > 27,27,PC1 Australia Pty Ltd,Kinh doanh sản phẩm thép,Australia,"100,00%","100,00%","100,00%","100,00%",,,,1.0,1.0,1.0,1.0
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,,,,
1,1,1,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,,,,,,,
1,1 > 1,1,Công ty Cổ phần Cột thép Mạ kèm Thái Nguyên,Sản xuất các loại cột thép mạ kèm,Thái Nguyên,"81,00%","90,00%","81,00%","90,00%",,,,0.81,0.9,0.81,0.9
2,2,2,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,Công ty con của Công ty Cổ phần PC1 Mỹ Đình,,,,,,,
2,2 > 2,2,Công ty Cổ phần Thí nghiệm Điện ETIK (vii),"Kiểm định, thử nghiệm, hiệu chỉnh thiết bị dụng cụ điện áp đến 110 kV",Hà Nội,-,-,"51,00%","51,00%",,,,,,0.51,0.51
3,3,3,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,Công ty con của Công ty Cổ phần PC1 Miền Nam,,,,,,,
3,3 > 3,3,Công ty TNHH MTV Xây lắp Điện 1 – Từ Liêm,Xây lắp điện,Hà Nội,"80,00%","100,00%","100,00%","100,00%",,,,0.8,1.0,1.0,1.0
