row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm,Năm nay > (179.526.147.372) > (17.726.743.271) > 6.415.048.252,VNDNăm trước > (255.293.903.834) > (274.454.334.090) > 350.222.090.552,numeric__Năm nay > (179.526.147.372) > (17.726.743.271) > 6.415.048.252,numeric__VNDNăm trước > (255.293.903.834) > (274.454.334.090) > 350.222.090.552
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,222.129.962,-,222129962.0,
Số cuối năm,Số cuối năm,Số cuối năm,(190.615.712.429),(179.526.147.372),-190615712429.0,-179526147372.0
