row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vu,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vu,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,35.800.137.000,34.491.840.000,,,35800137000.0,34491840000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty liên kết,Lãi cho vayChi hộ,1.002.099.65261.955.100,76.970.062-,,,1.002099652619551e+17,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vayChi hộ,286.968.83655.876.455,549.261.613-,,,2.8696883655876456e+16,
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Chi hộ,51.955.100,-,,,51955100.0,
,,,,,1.458.855.143,626.231.675,,,1458855143.0,626231675.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn(từ ngày 30 tháng 11 năm 2016đến ngày 31 tháng 3 năm 2017),Dịch vụ lắp đặt,-,24.835.249.883,,,,24835249883.0
Tập đoàn Vingroup - Công ty Cổ phần,Người mua trả tiền trước ngắn hạn > Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Công ty mẹ của cổ đông lớn(từ ngày 30 tháng 11 năm 2016đến ngày 31 tháng 3 năm 2017),Dịch vụ lắp đặt,-,1.308.806.400,,,,1308806400.0
,,,,,-,26.144.056.283,,,,26144056283.0
