row_label_raw,row_label_full,col_0,Số cuối nămNợ gốc,VNDSố đầu nămNợ gốc,numeric__Số cuối nămNợ gốc,numeric__VNDSố đầu nămNợ gốc
"Việt Á, chi nhánh Bình Dương","Việt Á, chi nhánh Bình Dương","Việt Á, chi nhánh Bình Dương",149.310.079.209,430.282.496.886,149310079209.0,430282496886.0
"Đông Á, chi nhánh Bình Dương","Đông Á, chi nhánh Bình Dương","Đông Á, chi nhánh Bình Dương",124.292.700.000,124.292.700.000,124292700000.0,124292700000.0
"Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT",103.280.240.824,103.280.240.824,103280240824.0,103280240824.0
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",10.500.000.000,25.003.000.000,10500000000.0,25003000000.0
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",8.675.455.322,10.375.455.322,8675455322.0,10375455322.0
"Kiên Long, chi nhánh Bình Dương","Kiên Long, chi nhánh Bình Dương","Kiên Long, chi nhánh Bình Dương",-,59.980.000.000,,59980000000.0
"SHB, chi nhánh Phú Nhuận","SHB, chi nhánh Phú Nhuận","SHB, chi nhánh Phú Nhuận",-,56.846.909.438,,56846909438.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,396.058.475.355,810.060.802.470,396058475355.0,810060802470.0
