row_label_raw,row_label_full,Số đầu năm > Lỗ thuần trong năm,23.229.967.820 > (8.392.325.925),numeric__23.229.967.820 > (8.392.325.925)
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(6.257.902.782),-6257902782.0
Số cuối năm,Số cuối năm,Số cuối năm,8.579.739.113,8579739113.0
