row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quyền chọn chuyển đổi vay,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi vay,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Số liệu đã trìnhbảy trước đây,Số đầu năm > Số liệu đã trìnhbảy trước đây,Số liệu đã trìnhbảy trước đây,1.400.939.400.000,51.798.842.848,6.743.618.619,(356.467.288),17.170.909.622,8.963.110,(154.641.282.141),1.321.663.984.770,1400939400000.0,51798842848.0,6743618619.0,-356467288.0,17170909622.0,8963110.0,-154641282141.0,1321663984770.0
Ảnh hưởng của cácdieu chỉnh hồi tố -Thuyết minh số 35Đã điều chỉnh lại,Số đầu năm > Ảnh hưởng của cácdieu chỉnh hồi tố -Thuyết minh số 35Đã điều chỉnh lại,Ảnh hưởng của cácdieu chỉnh hồi tố -Thuyết minh số 35Đã điều chỉnh lại,1.400.939.400.000,51.798.842.848,6.743.618.619,(356.467.288),17.170.909.622,8.963.110,(852.555.287.232)(1.007.196.569.373)(418.580.264.110),(852.555.287.232)469.108.697.538(418.580.264.110)45.139.000.0005.208.401.000,1400939400000.0,51798842848.0,6743618619.0,-356467288.0,17170909622.0,8963110.0,,
Lỗ thuần trong nămTăng vốn,Số đầu năm > Lỗ thuần trong nămTăng vốn,Lỗ thuần trong nămTăng vốn,45.139.000.000,-,-,-,-,-,-,-,45139000000.0,,,,,,,
Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Số đầu năm > Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,-,-,5.208.401.000,-,-,-,8.158.813.733,8.158.813.733,,,5208401000.0,,,,8158813733.0,8158813733.0
Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,-,-,-,-,-,-,-,-,,,,,,,,
Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác > Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,-,11.952.019.619,(11.952.019.619),-,-,-,-,-,,11952019619.0,-11952019619.0,,,,,
Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác > Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác,-,-,-,(196.497.712),-,-,-,(196.497.712),,,,-196497712.0,,,,-196497712.0
Số cuối năm,Tăng vay chuyển đổiGiao dịch mua thêm cổphần từ các cổ đôngkhông kiểm soátVay chuyển đổi đếnhan nhưng khôngđược chuyển đổiKhác > Số cuối năm,Số cuối năm,1.446.078.400.000,63.750.862.467,-,(552.965.000),17.170.909.622,8.963.110,(1.417.618.019.750),108.838.150.449,1446078400000.0,63750862467.0,,-552965000.0,17170909622.0,8963110.0,-1417618019750.0,108838150449.0
