row_label_raw,row_label_full,col_0,Quyền sử dụng đất lâu dài,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất lâu dài,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,6.122.642.414,17.730.256.880,25.311.531.294,1458632000.0,6122642414.0,17730256880.0,25311531294.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,843.700.000,843.700.000,,,843700000.0,843700000.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,(52.270.950),-,(52.270.950),,-52270950.0,,-52270950.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,6.070.371.464,18.573.956.880,26.102.960.344,1458632000.0,6070371464.0,18573956880.0,26102960344.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,429.364.812,229.636.464,659.001.276,,429364812.0,229636464.0,659001276.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(2.830.406.759),(8.088.802.297),(10.919.209.056),,-2830406759.0,-8088802297.0,-10919209056.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(300.188.303),(1.405.950.004),(1.706.138.307),,-300188303.0,-1405950004.0,-1706138307.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,52.270.950,-,52.270.950,,52270950.0,,52270950.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(3.078.324.112),(9.494.752.301),(12.573.076.413),,-3078324112.0,-9494752301.0,-12573076413.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,3.292.235.655,9.641.454.583,14.392.322.238,1458632000.0,3292235655.0,9641454583.0,14392322238.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,2.992.047.352,9.079.204.579,13.529.883.931,1458632000.0,2992047352.0,9079204579.0,13529883931.0
