row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 35),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 35)
300,300,300,C. NỘ PHẢI TRẢ,,3.338.441.984.111,3.453.016.149.679,,,3338441984111.0,3453016149679.0
310,310,310,I. Nợ ngắn hạn,,2.811.269.918.966,3.423.575.673.122,,,2811269918966.0,3423575673122.0
311,311,311,1. Phải trả người bán ngắn hạn,18.1,327.522.843.221,253.604.071.544,,181.0,327522843221.0,253604071544.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,18.2,1.663.130.548.990,181.257.022.257,,182.0,1663130548990.0,181257022257.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,19,23.481.665.655,29.962.361.527,,19.0,23481665655.0,29962361527.0
314,314,314,4. Phải trả người lao động,,35.371.105.786,43.348.406.480,,,35371105786.0,43348406480.0
315,315,315,5. Chi phí phải trả ngắn hạn,20,310.642.788.030,191.833.231.568,,20.0,310642788030.0,191833231568.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,-,195.000.005,,,,195000005.0
319,319,319,7. Phải trả ngắn hạn khác,22,53.126.042.220,85.978.061.745,,22.0,53126042220.0,85978061745.0
320,320,320,8. Vay ngắn hạn,23,396.058.475.355,2.637.397.517.996,,23.0,396058475355.0,2637397517996.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,1.936.449.709,-,,,1936449709.0,
330,330,330,II. Nợ dài hạn,,527.172.065.145,29.440.476.557,,,527172065145.0,29440476557.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,21,25.187.188.645,27.013.450.057,,21.0,25187188645.0,27013450057.0
337,337,337,2. Phải trả dài hạn khác,22,-,30.000.000,,22.0,,30000000.0
338,338,338,3. Vay dài hạn,23,500.000.000.000,-,,23.0,500000000000.0,
342,342,342,4. Dự phòng phải trả dài hạn,,1.984.876.500,2.397.026.500,,,1984876500.0,2397026500.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,828.043.246.226,132.099.853.523,,,828043246226.0,132099853523.0
410,410,410,I. Vốn chủ sở hữu,,828.011.510.972,132.068.118.269,,,828011510972.0,132068118269.0
411,411,411,1. Vốn cổ phần,24.1,2.146.078.400.000,1.446.078.400.000,,241.0,2146078400000.0,1446078400000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.146.078.400.000,1.446.078.400.000,,,2146078400000.0,1446078400000.0
412,412,412,2. Thắng dư vốn cổ phần,24.1,63.607.862.467,63.750.862.467,,241.0,63607862467.0,63750862467.0
415,415,415,3. Cổ phiếu quỹ,24.1,(552.965.000),(552.965.000),,241.0,-552965000.0,-552965000.0
418,418,418,4. Quỹ đầu tư phát triển,24.1,17.170.909.622,17.170.909.622,,241.0,17170909622.0,17170909622.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,24.1,8.963.110,8.963.110,,241.0,8963110.0,8963110.0
421,421,421,6. Lỗ lũy kế,24.1,(1.406.881.398.340),(1.417.618.019.750),,241.0,-1406881398340.0,-1417618019750.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(1.417.618.019.750),(1.007.196.569.373),,,-1417618019750.0,-1007196569373.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế) năm nay,,10.736.621.410,(410.421.450.377),,,10736621410.0,-410421450377.0
429,429,429,7. Lợi ích cổ đông không kiểm soát,24.5,8.579.739.113,23.229.967.820,,245.0,8579739113.0,23229967820.0
430,430,430,II. Nguồn kính phí và quỹ khác,,31.735.254,31.735.254,,,31735254.0,31735254.0
431,431,431,1. Nguồn kính phí,,31.735.254,31.735.254,,,31735254.0,31735254.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.166.485.230.337,3.585.116.003.202,,,4166485230337.0,3585116003202.0
