row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,402.355.267.665,294.017.598.857,25.902.198.657,14.053.359.616,1.376.406.125,737.704.830.920,402355267665.0,294017598857.0,25902198657.0,14053359616.0,1376406125.0,737704830920.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,6.643.982.330,1.502.607.589,240.000.000,-,-,8.386.589.919,6643982330.0,1502607589.0,240000000.0,,,8386589919.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,554.065.143,6.110.107.525,1.793.010.909,69.502.000,-,8.526.685.577,554065143.0,6110107525.0,1793010909.0,69502000.0,,8526685577.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(902.961.428),(1.625.477.451),(1.903.210.407),(55.232.779),(1.376.406.125),(5.863.288.190),-902961428.0,-1625477451.0,-1903210407.0,-55232779.0,-1376406125.0,-5863288190.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(14.762.736.287),(8.064.411.406),(2.057.649.882),(42.727.273),-,(24.927.524.848),-14762736287.0,-8064411406.0,-2057649882.0,-42727273.0,,-24927524848.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,393.887.617.423,291.940.425.114,23.974.349.277,14.024.901.564,-,723.827.293.378,393887617423.0,291940425114.0,23974349277.0,14024901564.0,,723827293378.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,24.940.476.383,27.194.849.780,5.517.718.589,2.555.997.524,-,60.209.042.276,24940476383.0,27194849780.0,5517718589.0,2555997524.0,,60209042276.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(111.730.791.478),(121.647.493.288),(16.806.513.288),(2.971.783.159),(1.174.634.723),(254.331.215.936),-111730791478.0,-121647493288.0,-16806513288.0,-2971783159.0,-1174634723.0,-254331215936.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(20.198.851.010),(19.111.615.995),(2.456.967.532),(1.482.465.642),(97.788.467),(43.347.688.646),-20198851010.0,-19111615995.0,-2456967532.0,-1482465642.0,-97788467.0,-43347688646.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,902.961.428,1.094.438.472,1.679.322.101,55.232.779,1.272.423.190,5.004.377.970,902961428.0,1094438472.0,1679322101.0,55232779.0,1272423190.0,5004377970.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,6.080.369.372,3.210.016.873,1.655.987.134,42.727.273,-,10.989.100.652,6080369372.0,3210016873.0,1655987134.0,42727273.0,,10989100652.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(124.946.311.688),(136.454.653.938),(15.928.171.585),(4.356.288.749),-,(281.685.425.960),-124946311688.0,-136454653938.0,-15928171585.0,-4356288749.0,,-281685425960.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,290.624.476.187,172.370.105.569,9.095.685.369,11.081.576.457,201.771.402,483.373.614.984,290624476187.0,172370105569.0,9095685369.0,11081576457.0,201771402.0,483373614984.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,268.941.305.735,155.485.771.176,8.046.177.692,9.668.612.815,-,442.141.867.418,268941305735.0,155485771176.0,8046177692.0,9668612815.0,,442141867418.0
