row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vu,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vu,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Bán hàng,1.830.894.550,-,,,1830894550.0,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty liên kết,Bán hàng,967.519.134,38.958.652,,,967519134.0,38958652.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn của khách hàng > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Thuê văn phòng,16.500.000,-,,,16500000.0,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn(từ ngày 30 tháng 11 năm 2016đến ngày 31 tháng 3 năm 2017),Dịch vụ lắp đặt,-,18.468.366.559,,,,18468366559.0
Tập đoàn Vingroup - Công ty Cổ phần,Phải thu ngắn hạn của khách hàng > Tập đoàn Vingroup - Công ty Cổ phần,Tập đoàn Vingroup - Công ty Cổ phần,Công ty mẹ của cổ đông lớn(từ ngày 30 tháng 11 năm 2016đến ngày 31 tháng 3 năm 2017),Dịch vụ lắp đặt,-,1.500.043.560,,,,1500043560.0
,,,,,2.814.913.684,20.007.368.771,,,2814913684.0,20007368771.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty liên kết,Cho vay,10.482.260.265,4.755.427.765,,,10482260265.0,4755427765.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,1.530.615.000,-,,,1530615000.0,
Công ty Cổ phần Phú Hữu Gia,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,Cho vay,100.000.000,-,,,100000000.0,
,,,,,12.112.875.265,4.755.427.765,,,12112875265.0,4755427765.0
