row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước (Đã điều chỉnh lại – Thuyết minh số 35),numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã điều chỉnh lại – Thuyết minh số 35)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,,1.363.703.677.340,643.945.132.354,,,1363703677340.0,643945132354.0
02,02,02,2. Các khoản giảm trừ doanh thu,,(304.749.239),(928.909.512),,,-304749239.0,-928909512.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,25.1,1.363.398.928.101,643.016.222.842,,251.0,1363398928101.0,643016222842.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,26,(1.087.317.361.943),(755.911.047.169),,26.0,-1087317361943.0,-755911047169.0
20,20,20,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,,276.081.566.158,(112.894.824.327),,,276081566158.0,-112894824327.0
21,21,21,6. Doanh thu hoạt động tài chính,25.2,6.497.443.408,28.512.292.284,,252.0,6497443408.0,28512292284.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(134.374.765.557) (129.952.729.394),(274.084.957.571) (273.052.474.651),,27.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,27,(134.374.765.557) (129.952.729.394),(274.084.957.571) (273.052.474.651),,27.0,,
24,24,24,"8. Phần lãi (lỗ) trong công ty liên doanh, liên kết",,1.077.229.112,(3.889.142.632),,,1077229112.0,-3889142632.0
25,25,25,9. Chi phí bán hàng,28,(12.641.915.037),(26.571.091.875),,28.0,-12641915037.0,-26571091875.0
26,26,26,10. Chi phí quản lý doanh nghiệp,28,(119.614.256.637),(52.967.836.207),,28.0,-119614256637.0,-52967836207.0
30,30,30,11. Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh,,17.025.301.447,(441.895.560.328),,,17025301447.0,-441895560328.0
31,31,31,12. Thu nhập khác,29,9.064.424.862,42.197.904.045,,29.0,9064424862.0,42197904045.0
32,32,32,13. Chi phí khác,29,(23.619.992.740),(42.800.419.349),,29.0,-23619992740.0,-42800419349.0
40,40,40,14. Lỗ khác,29,(14.555.567.878),(602.515.304),,29.0,-14555567878.0,-602515304.0
50,50,50,15. Tổng lợi nhuận (lỗ) kế toán trước thuế,,2.469.733.569,(442.498.075.632),,,2469733569.0,-442498075632.0
51,51,51,16. Chi phí thuế TNDN hiện hành,31.1,(125.438.084),-,,311.0,-125438084.0,
60,60,60,17. Lợi nhuận (lỗ) sau thuế TNDN,,2.344.295.485,(442.498.075.632),,,2344295485.0,-442498075632.0
