row_label_raw,row_label_full,Tổng lợi nhuận (lỗ) kế toán trước thuế,2.469.733.569,(442.498.075.632),numeric__2.469.733.569,numeric__(442.498.075.632)
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,493.946.714,(88.499.615.126),493946714.0,-88499615126.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
"Hao hụt, mất mát hàng tồn kho","Các khoản điều chỉnh: > Hao hụt, mất mát hàng tồn kho","Hao hụt, mất mát hàng tồn kho",-,44.783.033.078,,44783033078.0
Các khoản phạt,Các khoản điều chỉnh: > Các khoản phạt,Các khoản phạt,-,2.433.675.857,,2433675857.0
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,4.345.185.836,2.842.718.195,4345185836.0,2842718195.0
Chi phí lãi vay,Các khoản điều chỉnh: > Chi phí lãi vay,Chi phí lãi vay,22.801.936.879,-,22801936879.0,
"Phần (lãi) lỗ trong công ty liên doanh, liên kết","Các khoản điều chỉnh: > Phần (lãi) lỗ trong công ty liên doanh, liên kết","Phần (lãi) lỗ trong công ty liên doanh, liên kết",(215.445.822),777.828.526,-215445822.0,777828526.0
Thay đổi dự phòng giảm giá hàng tồn kho,Các khoản điều chỉnh: > Thay đổi dự phòng giảm giá hàng tồn kho,Thay đổi dự phòng giảm giá hàng tồn kho,387.308.962,14.273.072.959,387308962.0,14273072959.0
Thay đổi chi phí phải trả,Các khoản điều chỉnh: > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,3.058.697.635,7.950.460.455,3058697635.0,7950460455.0
Thay đổi dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Thay đổi dự phòng nợ phải thu khó đòi,Thay đổi dự phòng nợ phải thu khó đòi,1.253.855.846,(11.855.269.490),1253855846.0,-11855269490.0
Thay đổi dự phòng trợ cấp thời việc,Các khoản điều chỉnh: > Thay đổi dự phòng trợ cấp thời việc,Thay đổi dự phòng trợ cấp thời việc,(82.175.000),289.562.500,-82175000.0,289562500.0
Lợi nhuận chưa thực hiện,Các khoản điều chỉnh: > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,(2.306.043.759),(1.063.288.754),-2306043759.0,-1063288754.0
Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Các khoản điều chỉnh: > Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,5.436.609.870,(2.675.438.546),5436609870.0,-2675438546.0
Lỗ chuyển sang năm sau không ghi nhận thuế hoãn lại,Các khoản điều chỉnh: > Lỗ chuyển sang năm sau không ghi nhận thuế hoãn lại,Lỗ chuyển sang năm sau không ghi nhận thuế hoãn lại,2.609.333.828,32.704.202.921,2609333828.0,32704202921.0
Lỗ do thanh lý công ty con,Các khoản điều chỉnh: > Lỗ do thanh lý công ty con,Lỗ do thanh lý công ty con,210.067.921,-,210067921.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(36.294.790.288),(1.960.942.575),-36294790288.0,-1960942575.0
"Thuế TNDN được miễn, giảm","Các khoản điều chỉnh: > Thuế TNDN được miễn, giảm","Thuế TNDN được miễn, giảm",(2.028.873.634),-,-2028873634.0,
Điều chỉnh thuế TNDN trích thiếu các năm trước,Các khoản điều chỉnh: > Điều chỉnh thuế TNDN trích thiếu các năm trước,Điều chỉnh thuế TNDN trích thiếu các năm trước,41.421.786,-,41421786.0,
Khác,Các khoản điều chỉnh: > Khác,Khác,414.401.310,-,414401310.0,
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,125.438.084,-,125438084.0,
