row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Đơn vị tính: triệu VND > Số cán trừ trong năm,Đơn vị tính: triệu VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Đơn vị tính: triệu VND > Số cán trừ trong năm,numeric__Đơn vị tính: triệu VND > Số cuối năm
Phải thu,Phải thu,Phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,167.242,-,(167.242),-,167242.0,,-167242.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,167.242,-,(167.242),-,167242.0,,-167242.0,
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,,,,,,,,
"Tiền sử dụng đất, thuê đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất, chi phí thuế đất phải nộp và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",10.501.087,610.665,(9.902.076),1.209.676,10501087.0,610665.0,-9902076.0,1209676.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,947.166,(123.507),823.659,,947166.0,-123507.0,823659.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,37.837,-,(34.577),3.260,37837.0,,-34577.0,3260.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.483,136.465,(131.970),10.978,6483.0,136465.0,-131970.0,10978.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,5.040,62.889,(65.403),2.526,5040.0,62889.0,-65403.0,2526.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,10.550.447,1.757.185,(10.257.533),2.050.099,10550447.0,1757185.0,-10257533.0,2050099.0
