row_label_raw,row_label_full,Tập đoàn Đệt may Việt NamCông ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn ĐôngCông ty Cổ phần Thời trang M.Y.MCông ty Cổ phần Giải pháp Công nghệThông tin và Hạ tầngTruyền dẫn VinlTISTập đoàn Truyền thôngThanh niên,Số cuối năm > Số lượng > 50.000.000(**) > 6.080.000 > 95.000 > 400.000,"Số cuối năm > Tỷ lệ biểu quyết (%) > 10,009,62 > 19,00 > 3,87","Số cuối năm > Tỷ lệ sở hữu (%) > 10,009,62 > 19,00 > 3,87",Số cuối năm > Giá trị ghi số (triệu VND) > 552.395519.233 > 60.800 > 26.838 > 12.400,Số cuối năm > Giá trị hợp lý (triệu VND) > 409.000(*) > (*),Số đầu năm > Số lượng > 50.000.000(**) > 6.080.000 > - > 400.000,"Số đầu năm > Tỷ lệ biểu quyết (%) > 10,009,62 > 19,00 > - > 3,87","Số đầu năm > Tỷ lệ sở hữu (%) > 10,009,62 > 19,00 > - > 3,87",Số đầu năm > Giá trị ghi số (triệu VND) > 552.395 > 60.800 > - > 12.400,Số đầu năm > Giá trị hợp lý (triệu VND) > 530.000(*) > (*) > - > (*),numeric__Số cuối năm > Số lượng > 50.000.000(**) > 6.080.000 > 95.000 > 400.000,"numeric__Số cuối năm > Tỷ lệ biểu quyết (%) > 10,009,62 > 19,00 > 3,87","numeric__Số cuối năm > Tỷ lệ sở hữu (%) > 10,009,62 > 19,00 > 3,87",numeric__Số cuối năm > Giá trị ghi số (triệu VND) > 552.395519.233 > 60.800 > 26.838 > 12.400,numeric__Số cuối năm > Giá trị hợp lý (triệu VND) > 409.000(*) > (*),numeric__Số đầu năm > Số lượng > 50.000.000(**) > 6.080.000 > - > 400.000,"numeric__Số đầu năm > Tỷ lệ biểu quyết (%) > 10,009,62 > 19,00 > - > 3,87","numeric__Số đầu năm > Tỷ lệ sở hữu (%) > 10,009,62 > 19,00 > - > 3,87",numeric__Số đầu năm > Giá trị ghi số (triệu VND) > 552.395 > 60.800 > - > 12.400,numeric__Số đầu năm > Giá trị hợp lý (triệu VND) > 530.000(*) > (*) > - > (*)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,1.171.666,,,,,1.144.828,,,,,1171666.0,,,,,1144828.0,
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,,,(204.195),,,,,(63.651),,,,,-204195.0,,,,,-63651.0,
