row_label_raw,row_label_full,NGHIỆP VỤ VỚI CÁC BÊN LIÊN QUAN (tiếp theo)Những giao dịch trọng yếu của Công ty với các bên liên quan (tiếp theo),NGHIỆP VỤ VỚI CÁC BÊN LIÊN QUAN (tiếp theo)Những giao dịch trọng yếu của Công ty với các bên liên quan (tiếp theo)_1,NGHIỆP VỤ VỚI CÁC BÊN LIÊN QUAN (tiếp theo)Những giao dịch trọng yếu của Công ty với các bên liên quan (tiếp theo)_2,numeric__NGHIỆP VỤ VỚI CÁC BÊN LIÊN QUAN (tiếp theo)Những giao dịch trọng yếu của Công ty với các bên liên quan (tiếp theo)_1,numeric__NGHIỆP VỤ VỚI CÁC BÊN LIÊN QUAN (tiếp theo)Những giao dịch trọng yếu của Công ty với các bên liên quan (tiếp theo)_2
▶ Giao dịch với các công ty con (tiếp theo),▶ Giao dịch với các công ty con (tiếp theo),▶ Giao dịch với các công ty con (tiếp theo),▶ Giao dịch với các công ty con (tiếp theo),▶ Giao dịch với các công ty con (tiếp theo),,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,,
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Cho vayĐi vayNhận đặt cọc chuyển nhượng cổ phầnChuyển nhượng cổ phầnNhận chuyển nhượng cổ phầnNhận góp vốn cho mục đích hợp tác đầu tưLợi nhuận từ hợp tác đầu tưDoanh thu cung cấp dịch vụ quản lýDòng tiền quản lý tập trung,,
Công ty Vinfast,Công ty Vinfast,Công ty Vinfast,Công ty con,Cho vayĐi vayLãi cho vayNhận chuyển nhượng cổ phầnDòng tiền quản lý tập trung,,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tưLợi nhuận từ hợp tác đầu tư,,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Góp vốnCho vayLãi cho vayDòng tiền quản lý tập trung,,
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tưNhận đặt cọc chuyển nhượng cổ phần/dự án,,
Công ty Sài Đồng,Công ty Sài Đồng,Công ty Sài Đồng,Công ty con,Thu hộ đã trảCho vayNhận chuyển nhượng cổ phần,,
