row_label_raw,row_label_full,col_0,Quyền sử dụngđất và nhà cửavật kiến trúc,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Quyền sử dụngđất và nhà cửavật kiến trúc,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Quyền sử dụngđất và nhà cửavật kiến trúc,"Máy móc,thiết bị",Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,7.826.821,3.167.769,10.994.590,7826821.0,3167769.0,10994590.0
- Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giá: > - Xây dựng cơ bản hoàn thành(Thuyết minh số 16),- Xây dựng cơ bản hoàn thành(Thuyết minh số 16),778.731,708.769,1.487.500,778731.0,708769.0,1487500.0
- Phân loại sang hàng tồn kho,Nguyên giá: > - Phân loại sang hàng tồn kho,- Phân loại sang hàng tồn kho,(121.089),(8.732),(129.821),-121089.0,-8732.0,-129821.0
- Góp vốn vào công ty con,Nguyên giá: > - Góp vốn vào công ty con,- Góp vốn vào công ty con,(246.321),(145.761),(392.082),-246321.0,-145761.0,-392082.0
- Thay đổi khác,Nguyên giá: > - Thay đổi khác,- Thay đổi khác,48.621,(38.244),10.377,48621.0,-38244.0,10377.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,8.286.763,3.683.801,11.970.564,8286763.0,3683801.0,11970564.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,229.109,249.748,478.857,229109.0,249748.0,478857.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,212.944,348.446,561.390,212944.0,348446.0,561390.0
- Phân loại sang hàng tồn kho,Giá trị khấu hao lũy kế: > - Phân loại sang hàng tồn kho,- Phân loại sang hàng tồn kho,(7.881),(2.330),(10.211),-7881.0,-2330.0,-10211.0
- Góp vốn vào công ty con,Giá trị khấu hao lũy kế: > - Góp vốn vào công ty con,- Góp vốn vào công ty con,(20.138),(26.456),(46.594),-20138.0,-26456.0,-46594.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,414.034,569.408,983.442,414034.0,569408.0,983442.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,7.597.712,2.918.021,10.515.733,7597712.0,2918021.0,10515733.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,7.872.729,3.114.393,10.987.122,7872729.0,3114393.0,10987122.0
