row_label_raw,row_label_full,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm trước
7.933.000,7.933.000,7.933.000,3.250.000,3250000.0
-,-,-,2.100.000,2100000.0
3.233.920,3.233.920,3.233.920,-,
500.083,500.083,500.083,-,
1.880.299,500.083 > 1.880.299,1.880.299,198.784,198784.0
2.500.723,500.083 > 2.500.723,2.500.723,4.044.452,4044452.0
328.363,328.363,328.363,-,
141.363,328.363 > 141.363,141.363,564.372,564372.0
32.666,328.363 > 32.666,32.666,470.029,470029.0
34.825.500,34.825.500,34.825.500,-,
1.378.000,34.825.500 > 1.378.000,1.378.000,4.980.000,4980000.0
796.862,796.862,796.862,-,
1.000.000,1.000.000,1.000.000,-,
128.128,1.000.000 > 128.128,128.128,12.777,12777.0
289.495,1.000.000 > 289.495,289.495,814.671,814671.0
125.519,125.519,125.519,-,
1.200.000,1.200.000,1.200.000,-,
430.500,1.200.000 > 430.500,430.500,4.862.000,4862000.0
54.161,1.200.000 > 54.161,54.161,304.279,304279.0
187.084,1.200.000 > 187.084,187.084,13.966,13966.0
7.553.966,7.553.966,7.553.966,-,
4.733.620,4.733.620,4.733.620,-,
385.875,385.875,385.875,-,
10.000,385.875 > 10.000,10.000,2.560.000,2560000.0
-,385.875 > -,-,1.665.550,1665550.0
