row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
1.006.857,1.006.857,1.006.857,1.294.821,1294821.0
203.200,203.200,203.200,2.402.529,2402529.0
3.400.230,3.400.230,3.400.230,10.945.230,10945230.0
1.000.000,1.000.000,1.000.000,2.307.888,2307888.0
100.972,100.972,100.972,11.743,11743.0
6.545.175,6.545.175,6.545.175,4.044.452,4044452.0
44.347,44.347,44.347,18.997,18997.0
7.553.966,7.553.966,7.553.966,-,
4.733.620,4.733.620,4.733.620,-,
2.793.166,4.733.620 > 2.793.166,2.793.166,3.299.671,3299671.0
-,4.733.620 > -,-,301.075,301075.0
1.252.035,1.252.035,1.252.035,-,
1.013.050,1.252.035 > 1.013.050,1.013.050,805.372,805372.0
737.500,737.500,737.500,-,
700.000,700.000,700.000,-,
334.000,700.000 > 334.000,334.000,782.645,782645.0
-,700.000 > -,-,13.186.442,13186442.0
-,700.000 > -,-,308.056,308056.0
621.390,700.000 > 621.390,621.390,310.807,310807.0
32.039.508,700.000 > 32.039.508,32.039.508,40.019.728,40019728.0
