row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,72.371.546,(3.624.723),70.687.076,(898.956),72371546.0,-3624723.0,70687076.0,-898956.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,1.171.666,(204.195),1.144.828,(63.651),1171666.0,-204195.0,1144828.0,-63651.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,73.543.212,(3.828.918),71.831.904,(962.607),73543212.0,-3828918.0,71831904.0,-962607.0
