row_label_raw,row_label_full,Bên liên quan > Công ty Nam Hà Nội,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Lãi vay phải thu,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Lãi vay phải thu
Công ty Vinpro,Công ty Vinpro,Công ty Vinpro,Công ty con,Lãi vay phải thu,,
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Lãi vay phải thu,,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Lãi vay phải thuPhải thu khác,,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty con đến ngày 30 tháng 12 năm 2019,Lãi vay phải thuPhải thu khác,,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Lãi vay phải thuPhải thu khác,,
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi hộ phải thu,,
Công ty con khác,Công ty con khác,Công ty con khác,Công ty con,Phải thu khác,,
