row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng trong năm,Trong năm > Giảm trong năm,Trong năm > Giá trị đồng thời là số có khả năng trả nợ,Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng trong năm,numeric__Trong năm > Giảm trong năm,numeric__Trong năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số cuối năm
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.2.1,5.471.038,3.120.827,(5.500.000),3.091.865,,2321.0,5471038.0,3120827.0,-5500000.0,3091865.0,
Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay dài hạn đến hạn trả của khoản vay hợp vốn,Vay dài hạn đến hạn trả của khoản vay hợp vốn,23.2.2,1.197.262,1.368.300,(1.197.262),1.368.300,,2322.0,1197262.0,1368300.0,-1197262.0,1368300.0,
Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,,10.000,1.751.000,(1.761.000),-,,,10000.0,1751000.0,-1761000.0,,
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,,-,1.811.423,(1.811.423),-,,,,1811423.0,-1811423.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.678.300,8.051.550,(10.269.685),4.460.165,,,6678300.0,8051550.0,-10269685.0,4460165.0,
